Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,150.7621868,0.0,0.0
2024-10-02,151.0123795,0.0,0.0
2024-10-03,143.6462071,0.0,0.0
2024-10-04,153.1835794,0.0,0.0
2024-10-05,161.706677,0.0,0.0
2024-10-06,170.8939289,0.0,0.0
2024-10-07,148.4592322,0.0,0.0
2024-10-08,147.291604,0.0,0.0
2024-10-09,152.0241889,0.0,0.0
2024-10-10,157.0188721,0.0,0.0
2024-10-11,162.8201077,0.0,0.0
2024-10-12,161.8344706,0.0,0.0
2024-10-13,167.4687371,0.0,0.0
2024-10-14,153.5543022,0.0,0.0
2024-10-15,154.1508475,0.0,0.0
2024-10-16,143.0100207,0.0,0.0
2024-10-17,150.0656945,0.0,0.0
2024-10-18,155.5200749,0.0,0.0
2024-10-19,160.763044,0.0,0.0
2024-10-20,170.8970996,0.0,0.0
2024-10-21,149.6456901,0.0,0.0
2024-10-22,154.4574861,0.0,0.0
2024-10-23,152.8826836,0.0,0.0
2024-10-24,155.4960691,0.0,0.0
2024-10-25,163.3114459,0.0,0.0
2024-10-26,166.5421273,0.0,0.0
2024-10-27,177.5741074,0.0,0.0
2024-10-28,150.732372,0.0,0.0
2024-10-29,150.3124195,0.0,0.0
2024-10-30,150.9648068,0.0,0.0
2024-11-01,81.83816641,0.0,0.0
2024-11-02,156.5845249,0.0,0.0
2024-11-03,166.1379021,0.0,0.0
2024-11-04,146.7077708,0.0,0.0
2024-11-05,147.4755344,0.0,0.0
2024-11-06,146.5767868,0.0,0.0
2024-11-07,148.57619,0.0,0.0
2024-11-08,157.5056861,0.0,0.0
2024-11-09,164.6389229,0.0,0.0
2024-11-10,168.9214707,0.0,0.0
2024-11-11,150.5536234,0.0,0.0
2024-11-12,148.8227324,0.0,0.0
2024-11-13,149.6786128,0.0,0.0
2024-11-14,149.4675037,0.0,0.0
2024-11-15,157.6754687,0.0,0.0
2024-11-16,155.3405502,0.0,0.0
2024-11-17,166.7186057,0.0,0.0
2024-11-18,145.9768279,0.0,0.0
2024-11-19,152.9104186,0.0,0.0
2024-11-20,148.6995436,0.0,0.0
2024-11-21,152.2882807,0.0,0.0
2024-11-22,156.7110893,0.0,0.0
2024-11-23,161.4634104,0.0,0.0
2024-11-24,168.4363272,0.0,0.0
2024-11-25,154.7446101,0.0,0.0
2024-11-26,157.596464,0.0,0.0
2024-11-27,176.3445218,0.0,0.0
2024-11-28,156.1791746,0.0,0.0
2024-11-29,158.3713994,0.0,0.0
2024-11-30,161.6552638,0.0,0.0
2024-12-01,167.7132124,0.0,0.0
2024-12-02,148.8907813,0.0,0.0
2024-12-03,153.4757585,0.0,0.0
2024-12-04,153.0880933,0.0,0.0
2024-12-05,155.1482851,0.0,0.0
2024-12-06,162.528931,0.0,0.0
2024-12-07,162.454754,0.0,0.0
2024-12-08,171.2828961,0.0,0.0
2024-12-09,152.9941044,0.0,0.0
2024-12-10,154.0889442,0.0,0.0
2024-12-11,153.0321851,0.0,0.0
2024-12-12,165.9197256,0.0,0.0
