Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,178.9582731,0.0,0.0
2024-10-02,178.9766702,0.0,0.0
2024-10-03,179.7624728,0.0,0.0
2024-10-04,186.0806558,0.0,0.0
2024-10-05,190.9271197,0.0,0.0
2024-10-06,199.3760191,0.0,0.0
2024-10-07,179.7097564,0.0,0.0
2024-10-08,179.6165321,0.0,0.0
2024-10-09,181.4476264,0.0,0.0
2024-10-10,190.6280479,0.0,0.0
2024-10-11,193.5095132,0.0,0.0
2024-10-12,196.7837361,0.0,0.0
2024-10-13,202.5223752,0.0,0.0
2024-10-14,180.6671522,0.0,0.0
2024-10-15,183.610693,0.0,0.0
2024-10-16,176.5740078,0.0,0.0
2024-10-17,180.18213,0.0,0.0
2024-10-18,189.4358215,0.0,0.0
2024-10-19,190.4005824,0.0,0.0
2024-10-20,205.0926164,0.0,0.0
2024-10-21,181.3885896,0.0,0.0
2024-10-22,186.359038,0.0,0.0
2024-10-23,181.9317006,0.0,0.0
2024-10-24,187.8192057,0.0,0.0
2024-10-25,196.1227967,0.0,0.0
2024-10-26,192.7594793,0.0,0.0
2024-10-27,207.98658,0.0,0.0
2024-10-28,182.8304353,0.0,0.0
2024-10-29,179.7923023,0.0,0.0
2024-10-30,180.9329395,0.0,0.0
2024-11-01,88.25656608,0.0,0.0
2024-11-02,182.5300375,0.0,0.0
2024-11-03,195.6382249,0.0,0.0
2024-11-04,178.0475081,0.0,0.0
2024-11-05,173.3678956,0.0,0.0
2024-11-06,174.0876082,0.0,0.0
2024-11-07,174.6061574,0.0,0.0
2024-11-08,183.5138758,0.0,0.0
2024-11-09,188.924783,0.0,0.0
2024-11-10,197.6236182,0.0,0.0
2024-11-11,179.8948703,0.0,0.0
2024-11-12,176.7647743,0.0,0.0
2024-11-13,174.8885511,0.0,0.0
2024-11-14,174.9169326,0.0,0.0
2024-11-15,183.006303,0.0,0.0
2024-11-16,180.1599927,0.0,0.0
2024-11-17,187.9536468,0.0,0.0
2024-11-18,173.1810224,0.0,0.0
2024-11-19,177.1671146,0.0,0.0
2024-11-20,170.6282555,0.0,0.0
2024-11-21,172.8068934,0.0,0.0
2024-11-22,180.6082259,0.0,0.0
2024-11-23,187.7444012,0.0,0.0
2024-11-24,190.8858471,0.0,0.0
2024-11-25,182.1646392,0.0,0.0
2024-11-26,187.5299149,0.0,0.0
2024-11-27,205.7304463,0.0,0.0
2024-11-28,182.79546,0.0,0.0
2024-11-29,183.9794521,0.0,0.0
2024-11-30,185.6971773,0.0,0.0
2024-12-01,187.4418521,0.0,0.0
2024-12-02,175.0613809,0.0,0.0
2024-12-03,172.4207788,0.0,0.0
2024-12-04,176.0402006,0.0,0.0
2024-12-05,178.8997042,0.0,0.0
2024-12-06,186.0807732,0.0,0.0
2024-12-07,185.5658598,0.0,0.0
2024-12-08,195.3875903,0.0,0.0
2024-12-09,177.7995945,0.0,0.0
2024-12-10,177.5118717,0.0,0.0
2024-12-11,178.5672654,0.0,0.0
2024-12-12,187.9118477,0.0,0.0
2024-12-13,0.0,0.0,0.0
2024-12-14,187.5410515,0.0,0.0
2024-12-15,193.8600233,0.0,0.0
2024-12-16,180.0643897,0.0,0.0
2024-12-17,179.3496633,0.0,0.0
2024-12-18,178.0683778,0.0,0.0
2024-12-19,179.903191,0.0,0.0
2024-12-20,182.2198034,0.0,0.0
2024-12-21,190.1048774,0.0,0.0
2024-12-22,190.1048774,0.0,0.0
2024-12-23,187.9992596,0.0,0.0
2024-12-24,188.3558717,0.0,0.0
2024-12-25,188.3558717,0.0,0.0
2024-12-26,191.902801,0.0,0.0
2024-12-27,187.5373882,0.0,0.0
2024-12-28,197.5385499,0.0,0.0
2024-12-29,198.6162538,0.0,0.0
2024-12-30,191.9164263,0.0,0.0
2024-12-31,197.4243345,0.0,0.0
2025-01-01,205.17,0.0,0.0
2025-01-02,179.53,0.0,0.0
2025-01-03,173.62,0.0,0.0
2025-01-04,176.27,0.0,0.0
2025-01-05,181.04,0.0,0.0
2025-01-06,166.51,0.0,0.0
2025-01-07,163.81,0.0,0.0
2025-01-08,165.72,0.0,0.0
2025-01-09,166.4,0.0,0.0
2025-01-10,173.32,0.0,0.0
2025-01-11,175.99,0.0,0.0
2025-01-12,181.0,0.0,0.0
2025-01-13,165.03,0.0,0.0
2025-01-14,165.57,0.0,0.0
2025-01-15,166.9,0.0,0.0
2025-01-16,168.79,0.0,0.0
2025-01-17,171.68,0.0,0.0
2025-01-18,170.47,0.0,0.0
2025-01-19,180.18,0.0,0.0
2025-01-20,165.57,0.0,0.0
2025-01-21,165.19,0.0,0.0
2025-01-22,163.29,0.0,0.0
2025-01-23,165.11,0.0,0.0
2025-01-24,167.66,0.0,0.0
2025-01-25,169.91,0.0,0.0
2025-01-26,184.25,0.0,0.0
2025-01-27,188.49,0.0,0.0
2025-01-28,176.13,0.0,0.0
2025-01-29,175.67,0.0,0.0
2025-01-30,163.19,0.0,0.0
2025-01-31,167.29,0.0,0.0
2025-02-01,166.42,0.0,0.0
2025-02-02,178.97,0.0,0.0
2025-02-03,156.7,0.0,0.0
2025-02-04,158.06,0.0,0.0
2025-02-05,157.92,0.0,0.0
2025-02-06,162.63,0.0,0.0
2025-02-07,168.72,0.0,0.0
2025-02-08,168.27,0.0,0.0
2025-02-09,181.95,0.0,0.0
2025-02-10,163.02,0.0,0.0
2025-02-11,161.64,0.0,0.0
2025-02-12,163.42,0.0,0.0
2025-02-13,163.14,0.0,0.0
2025-02-14,169.02,0.0,0.0
2025-02-15,170.14,0.0,0.0
2025-02-16,178.47,0.0,0.0
2025-02-17,161.08,0.0,0.0
2025-02-18,161.05,0.0,0.0
2025-02-19,158.89,0.0,0.0
2025-02-20,162.38,0.0,0.0
2025-02-21,173.01,0.0,0.0
2025-02-22,176.91,0.0,0.0
2025-02-23,182.78,0.0,0.0
2025-02-24,164.94,0.0,0.0
2025-02-25,163.61,0.0,0.0
2025-02-26,168.81,0.0,0.0
2025-02-27,169.6,0.0,0.0
2025-02-28,173.77,0.0,0.0
2025-03-01,170.59,0.0,0.0
2025-03-02,184.97,0.0,0.0
2025-03-03,170.04,0.0,0.0
2025-03-04,159.27,0.0,0.0
2025-03-05,164.89,0.0,0.0
2025-03-06,166.95,0.0,0.0
2025-03-07,168.26,0.0,0.0
2025-03-08,180.32,0.0,0.0
2025-03-09,179.06,0.0,0.0
2025-03-10,170.53,0.0,0.0
2025-03-11,165.67,0.0,0.0
2025-03-12,167.53,0.0,0.0
2025-03-13,175.93,0.0,0.0
2025-03-14,174.79,0.0,0.0
2025-03-15,177.25,0.0,0.0
2025-03-16,184.52,0.0,0.0
2025-03-17,176.06,0.0,0.0
2025-03-18,173.11,0.0,0.0
2025-03-19,182.95,0.0,0.0
2025-03-20,181.66,0.0,0.0
2025-03-21,181.5,0.0,0.0
2025-03-22,195.62,0.0,0.0
2025-03-23,200.95,0.0,0.0
2025-03-24,189.67,0.0,0.0
2025-03-25,188.19,0.0,0.0
2025-03-26,198.02,0.0,0.0
2025-03-27,205.58,0.0,0.0
2025-03-28,220.74,0.0,0.0
2025-03-29,230.11,0.0,0.0
2025-03-30,258.2,0.0,0.0
2025-03-31,280.23,0.0,0.0
2025-04-01,279.76,0.0,0.0
2025-04-02,275.7,0.0,0.0
2025-04-03,266.0941211,0.0,0.0
2025-04-04,257.1751031,0.0,0.0
2025-04-05,247.887913,0.0,0.0
2025-04-06,238.9593144,0.0,0.0
2025-04-07,220.5775517,0.0,0.0
2025-04-08,209.1898945,0.0,0.0
