Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,11.14792688,0.0,0.0
2024-10-02,10.62323601,0.0,0.0
2024-10-03,10.92125853,0.0,0.0
2024-10-04,10.89009663,0.0,0.0
2024-10-05,11.23595418,0.0,0.0
2024-10-06,11.69068056,0.0,0.0
2024-10-07,10.26239663,0.0,0.0
2024-10-08,10.40296811,0.0,0.0
2024-10-09,10.48314993,0.0,0.0
2024-10-10,11.19188409,0.0,0.0
2024-10-11,11.47162008,0.0,0.0
2024-10-12,11.36417975,0.0,0.0
2024-10-13,11.59031089,0.0,0.0
2024-10-14,10.4338609,0.0,0.0
2024-10-15,11.06190994,0.0,0.0
2024-10-16,10.50199871,0.0,0.0
2024-10-17,10.68783426,0.0,0.0
2024-10-18,11.23746429,0.0,0.0
2024-10-19,11.50651989,0.0,0.0
2024-10-20,11.46583501,0.0,0.0
2024-10-21,10.3004673,0.0,0.0
2024-10-22,10.47819207,0.0,0.0
2024-10-23,10.80634912,0.0,0.0
2024-10-24,11.34727134,0.0,0.0
2024-10-25,11.71568136,0.0,0.0
2024-10-26,11.35544991,0.0,0.0
2024-10-27,12.27650047,0.0,0.0
2024-10-28,10.86125187,0.0,0.0
2024-10-29,11.26766205,0.0,0.0
2024-10-30,11.13642655,0.0,0.0
2024-11-01,5.203813905,0.0,0.0
2024-11-02,10.69947347,0.0,0.0
2024-11-03,10.9118824,0.0,0.0
2024-11-04,9.989883138,0.0,0.0
2024-11-05,10.20421735,0.0,0.0
2024-11-06,10.32495018,0.0,0.0
2024-11-07,10.52319666,0.0,0.0
2024-11-08,10.63896367,0.0,0.0
2024-11-09,11.05434053,0.0,0.0
2024-11-10,11.35497599,0.0,0.0
2024-11-11,10.21714573,0.0,0.0
2024-11-12,10.40934314,0.0,0.0
2024-11-13,10.45957552,0.0,0.0
2024-11-14,10.14542298,0.0,0.0
2024-11-15,11.02988833,0.0,0.0
2024-11-16,10.75566649,0.0,0.0
2024-11-17,10.99383716,0.0,0.0
2024-11-18,10.10098421,0.0,0.0
2024-11-19,10.63556451,0.0,0.0
2024-11-20,10.59112706,0.0,0.0
2024-11-21,10.99160851,0.0,0.0
2024-11-22,10.68331176,0.0,0.0
2024-11-23,11.28053991,0.0,0.0
2024-11-24,11.29393886,0.0,0.0
2024-11-25,10.68220474,0.0,0.0
2024-11-26,10.57124401,0.0,0.0
2024-11-27,11.26613292,0.0,0.0
2024-11-28,10.12093019,0.0,0.0
2024-11-29,10.59393529,0.0,0.0
2024-11-30,10.86834228,0.0,0.0
2024-12-01,11.09054463,0.0,0.0
2024-12-02,9.419119847,0.0,0.0
2024-12-03,8.483646582,0.0,0.0
2024-12-04,10.26218227,0.0,0.0
2024-12-05,10.74462668,0.0,0.0
2024-12-06,10.84903857,0.0,0.0
2024-12-07,10.63340383,0.0,0.0
2024-12-08,11.27558645,0.0,0.0
2024-12-09,10.04241612,0.0,0.0
2024-12-10,10.3050909,0.0,0.0
2024-12-11,10.69706649,0.0,0.0
2024-12-12,10.49463379,0.0,0.0
2024-12-13,10.80787818,0.0,0.0
2024-12-14,11.21544595,0.0,0.0
2024-12-15,11.94117312,0.0,0.0
2024-12-16,11.45149144,0.0,0.0
2024-12-17,10.32411291,0.0,0.0
2024-12-18,10.7480368,0.0,0.0
2024-12-19,10.66529944,0.0,0.0
2024-12-20,10.83864591,0.0,0.0
2024-12-21,11.21081964,0.0,0.0
2024-12-22,11.21081964,0.0,0.0
2024-12-23,10.99116307,0.0,0.0
2024-12-24,11.31665001,0.0,0.0
2024-12-25,11.31665001,0.0,0.0
2024-12-26,11.63585562,0.0,0.0
2024-12-27,11.26108154,0.0,0.0
2024-12-28,11.51673428,0.0,0.0
2024-12-29,11.6364963,0.0,0.0
2024-12-30,10.68266832,0.0,0.0
2024-12-31,11.41455384,0.0,0.0
2025-01-01,12.5,0.0,0.0
2025-01-02,11.01,0.0,0.0
2025-01-03,10.77,0.0,0.0
2025-01-04,10.86,0.0,0.0
2025-01-05,10.9,0.0,0.0
2025-01-06,9.87,0.0,0.0
2025-01-07,9.8,0.0,0.0
2025-01-08,9.93,0.0,0.0
2025-01-09,10.18,0.0,0.0
2025-01-10,10.33,0.0,0.0
2025-01-11,10.43,0.0,0.0
2025-01-12,10.43,0.0,0.0
2025-01-13,9.56,0.0,0.0
2025-01-14,9.52,0.0,0.0
2025-01-15,9.88,0.0,0.0
2025-01-16,9.91,0.0,0.0
2025-01-17,10.04,0.0,0.0
2025-01-18,10.1,0.0,0.0
2025-01-19,10.09,0.0,0.0
2025-01-20,9.69,0.0,0.0
