Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,56.37803718,0.0,0.0
2024-10-02,57.16758436,0.0,0.0
2024-10-03,57.40055263,0.0,0.0
2024-10-04,57.32095795,0.0,0.0
2024-10-05,59.19367932,0.0,0.0
2024-10-06,60.27121476,0.0,0.0
2024-10-07,55.5996733,0.0,0.0
2024-10-08,56.34383156,0.0,0.0
2024-10-09,56.89628807,0.0,0.0
2024-10-10,59.70591612,0.0,0.0
2024-10-11,61.01968824,0.0,0.0
2024-10-12,58.15116041,0.0,0.0
2024-10-13,59.74211917,0.0,0.0
2024-10-14,56.02346787,0.0,0.0
2024-10-15,57.85884144,0.0,0.0
2024-10-16,56.20744301,0.0,0.0
2024-10-17,57.67846341,0.0,0.0
2024-10-18,59.70128535,0.0,0.0
2024-10-19,59.61565199,0.0,0.0
2024-10-20,60.75459247,0.0,0.0
2024-10-21,56.58119194,0.0,0.0
2024-10-22,58.71508755,0.0,0.0
2024-10-23,57.9135841,0.0,0.0
2024-10-24,58.3275935,0.0,0.0
2024-10-25,61.62273497,0.0,0.0
2024-10-26,58.8335786,0.0,0.0
2024-10-27,61.46964765,0.0,0.0
2024-10-28,56.52036395,0.0,0.0
2024-10-29,57.30015133,0.0,0.0
2024-10-30,57.84142369,0.0,0.0
2024-11-01,28.76087247,0.0,0.0
2024-11-02,58.60257393,0.0,0.0
2024-11-03,60.96249589,0.0,0.0
2024-11-04,55.98418614,0.0,0.0
2024-11-05,55.52082712,0.0,0.0
2024-11-06,54.85132451,0.0,0.0
2024-11-07,54.33140197,0.0,0.0
2024-11-08,56.10888008,0.0,0.0
2024-11-09,56.59208006,0.0,0.0
2024-11-10,60.32261638,0.0,0.0
2024-11-11,56.27129065,0.0,0.0
2024-11-12,54.54743407,0.0,0.0
2024-11-13,55.12635348,0.0,0.0
2024-11-14,55.13276604,0.0,0.0
2024-11-15,57.5900103,0.0,0.0
2024-11-16,56.72396933,0.0,0.0
2024-11-17,58.08136036,0.0,0.0
2024-11-18,53.79229211,0.0,0.0
2024-11-19,58.16717458,0.0,0.0
2024-11-20,57.95551334,0.0,0.0
2024-11-21,56.15699377,0.0,0.0
2024-11-22,57.50330868,0.0,0.0
2024-11-23,58.26001423,0.0,0.0
2024-11-24,59.00710693,0.0,0.0
2024-11-25,57.02906356,0.0,0.0
2024-11-26,57.49490615,0.0,0.0
2024-11-27,61.96417252,0.0,0.0
2024-11-28,60.18821019,0.0,0.0
2024-11-29,59.07335631,0.0,0.0
2024-11-30,56.8393881,0.0,0.0
2024-12-01,55.79294567,0.0,0.0
2024-12-02,53.20730614,0.0,0.0
2024-12-03,55.03125046,0.0,0.0
2024-12-04,55.42933355,0.0,0.0
2024-12-05,56.28318935,0.0,0.0
2024-12-06,58.04658989,0.0,0.0
2024-12-07,57.63586591,0.0,0.0
