Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,4.245063641,0.0,0.0
2024-10-02,4.240247681,0.0,0.0
2024-10-03,4.219820693,0.0,0.0
2024-10-04,4.187227677,0.0,0.0
2024-10-05,4.341045107,0.0,0.0
2024-10-06,4.542815198,0.0,0.0
2024-10-07,4.057166677,0.0,0.0
2024-10-08,4.149879322,0.0,0.0
2024-10-09,4.151511264,0.0,0.0
2024-10-10,4.420217759,0.0,0.0
2024-10-11,4.273092897,0.0,0.0
2024-10-12,4.205563241,0.0,0.0
2024-10-13,4.384604846,0.0,0.0
2024-10-14,4.36763495,0.0,0.0
2024-10-15,4.508374477,0.0,0.0
2024-10-16,4.243519487,0.0,0.0
2024-10-17,4.184192763,0.0,0.0
2024-10-18,4.260212421,0.0,0.0
2024-10-19,4.341515572,0.0,0.0
2024-10-20,4.249081334,0.0,0.0
2024-10-21,4.00790778,0.0,0.0
2024-10-22,4.284063078,0.0,0.0
2024-10-23,4.148249914,0.0,0.0
2024-10-24,4.229981542,0.0,0.0
2024-10-25,4.259233091,0.0,0.0
2024-10-26,4.428381818,0.0,0.0
2024-10-27,4.647988693,0.0,0.0
2024-10-28,4.449530607,0.0,0.0
2024-10-29,4.475726911,0.0,0.0
2024-10-30,4.211687495,0.0,0.0
2024-11-01,2.30900145,0.0,0.0
2024-11-02,4.720596183,0.0,0.0
2024-11-03,4.530487359,0.0,0.0
2024-11-04,4.416527664,0.0,0.0
2024-11-05,4.405381183,0.0,0.0
2024-11-06,4.545291859,0.0,0.0
2024-11-07,4.481381268,0.0,0.0
2024-11-08,4.601002555,0.0,0.0
2024-11-09,4.379359571,0.0,0.0
2024-11-10,4.997881075,0.0,0.0
2024-11-11,4.529571609,0.0,0.0
2024-11-12,4.519568657,0.0,0.0
2024-11-13,4.308380494,0.0,0.0
2024-11-14,4.582568256,0.0,0.0
2024-11-15,4.630502898,0.0,0.0
2024-11-16,4.527911285,0.0,0.0
2024-11-17,4.631417731,0.0,0.0
2024-11-18,4.385602455,0.0,0.0
2024-11-19,4.742355105,0.0,0.0
2024-11-20,4.622828379,0.0,0.0
2024-11-21,4.272360106,0.0,0.0
2024-11-22,4.662167113,0.0,0.0
2024-11-23,4.746391547,0.0,0.0
2024-11-24,4.609621455,0.0,0.0
2024-11-25,4.442072126,0.0,0.0
2024-11-26,4.833211908,0.0,0.0
2024-11-27,4.979873138,0.0,0.0
2024-11-28,4.817984793,0.0,0.0
2024-11-29,4.784323395,0.0,0.0
2024-11-30,4.786569094,0.0,0.0
2024-12-01,4.802063175,0.0,0.0
2024-12-02,4.409214706,0.0,0.0
2024-12-03,4.273865189,0.0,0.0
2024-12-04,4.881108612,0.0,0.0
2024-12-05,5.016992008,0.0,0.0
2024-12-06,4.555296553,0.0,0.0
2024-12-07,4.561077177,0.0,0.0
2024-12-08,4.644208122,0.0,0.0
2024-12-09,4.365309008,0.0,0.0
2024-12-10,4.465356833,0.0,0.0
2024-12-11,4.891483682,0.0,0.0
2024-12-12,4.245730159,0.0,0.0
2024-12-13,4.602902636,0.0,0.0
2024-12-14,4.653923375,0.0,0.0
2024-12-15,4.841056158,0.0,0.0
2024-12-16,4.656437859,0.0,0.0
2024-12-17,4.497164484,0.0,0.0
2024-12-18,4.720898416,0.0,0.0
2024-12-19,4.876223744,0.0,0.0
2024-12-20,4.706815196,0.0,0.0
2024-12-21,5.036630522,0.0,0.0
2024-12-22,5.036630522,0.0,0.0
2024-12-23,5.028438476,0.0,0.0
2024-12-24,4.825154445,0.0,0.0
2024-12-25,4.825154445,0.0,0.0
2024-12-26,5.445249542,0.0,0.0
2024-12-27,5.393544834,0.0,0.0
2024-12-28,5.425424663,0.0,0.0
2024-12-29,5.754697712,0.0,0.0
2024-12-30,5.460711746,0.0,0.0
2024-12-31,5.567846836,0.0,0.0
2025-01-01,5.81,0.0,0.0
2025-01-02,5.4,0.0,0.0
2025-01-03,5.3,0.0,0.0
2025-01-04,4.9,0.0,0.0
2025-01-05,5.04,0.0,0.0
2025-01-06,4.71,0.0,0.0
2025-01-07,4.85,0.0,0.0
2025-01-08,4.66,0.0,0.0
2025-01-09,4.55,0.0,0.0
2025-01-10,5.0,0.0,0.0
2025-01-11,4.52,0.0,0.0
2025-01-12,4.88,0.0,0.0
2025-01-13,4.69,0.0,0.0
2025-01-14,4.66,0.0,0.0
2025-01-15,4.71,0.0,0.0
2025-01-16,4.68,0.0,0.0
2025-01-17,4.64,0.0,0.0
2025-01-18,4.55,0.0,0.0
2025-01-19,4.7,0.0,0.0
2025-01-20,4.45,0.0,0.0
2025-01-21,4.55,0.0,0.0
2025-01-22,4.83,0.0,0.0
2025-01-23,4.51,0.0,0.0
2025-01-24,4.39,0.0,0.0
2025-01-25,3.47,0.0,0.0
2025-01-26,4.51,0.0,0.0
2025-01-27,4.77,0.0,0.0
2025-01-28,4.6,0.0,0.0
2025-01-29,4.67,0.0,0.0
2025-01-30,4.68,0.0,0.0
2025-01-31,4.81,0.0,0.0
2025-02-01,4.56,0.0,0.0
2025-02-02,4.63,0.0,0.0
2025-02-03,4.29,0.0,0.0
2025-02-04,4.48,0.0,0.0
2025-02-05,4.37,0.0,0.0
2025-02-06,4.55,0.0,0.0
2025-02-07,4.49,0.0,0.0
2025-02-08,4.44,0.0,0.0
2025-02-09,4.33,0.0,0.0
2025-02-10,4.62,0.0,0.0
2025-02-11,4.64,0.0,0.0
2025-02-12,4.7,0.0,0.0
2025-02-13,4.69,0.0,0.0
2025-02-14,4.7,0.0,0.0
2025-02-15,4.58,0.0,0.0
2025-02-16,4.75,0.0,0.0
2025-02-17,4.38,0.0,0.0
2025-02-18,4.81,0.0,0.0
2025-02-19,4.84,0.0,0.0
2025-02-20,4.77,0.0,0.0
2025-02-21,4.64,0.0,0.0
