Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,6.127443095,0.0,0.0
2024-10-02,5.960046081,0.0,0.0
2024-10-03,6.390901231,0.0,0.0
2024-10-04,6.285956335,0.0,0.0
2024-10-05,6.457173466,0.0,0.0
2024-10-06,6.811895804,0.0,0.0
2024-10-07,5.783892799,0.0,0.0
2024-10-08,6.173295445,0.0,0.0
2024-10-09,6.415932591,0.0,0.0
2024-10-10,6.899950762,0.0,0.0
2024-10-11,6.727840478,0.0,0.0
2024-10-12,6.568890244,0.0,0.0
2024-10-13,6.866904183,0.0,0.0
2024-10-14,6.357716304,0.0,0.0
2024-10-15,6.73720017,0.0,0.0
2024-10-16,6.063289349,0.0,0.0
2024-10-17,6.236330858,0.0,0.0
2024-10-18,6.514845015,0.0,0.0
2024-10-19,6.469160197,0.0,0.0
2024-10-20,6.705685064,0.0,0.0
2024-10-21,6.309175744,0.0,0.0
2024-10-22,6.456349321,0.0,0.0
2024-10-23,6.540047368,0.0,0.0
2024-10-24,6.474335016,0.0,0.0
2024-10-25,6.407086989,0.0,0.0
2024-10-26,6.420358823,0.0,0.0
2024-10-27,6.944668706,0.0,0.0
2024-10-28,6.195413851,0.0,0.0
2024-10-29,6.300216181,0.0,0.0
2024-10-30,6.632942292,0.0,0.0
2024-11-01,3.195977043,0.0,0.0
2024-11-02,6.660483945,0.0,0.0
2024-11-03,6.878945309,0.0,0.0
2024-11-04,6.487187171,0.0,0.0
2024-11-05,6.492070496,0.0,0.0
2024-11-06,6.542682313,0.0,0.0
2024-11-07,6.675720329,0.0,0.0
2024-11-08,7.067197082,0.0,0.0
2024-11-09,7.22222874,0.0,0.0
2024-11-10,7.424837566,0.0,0.0
2024-11-11,6.507253632,0.0,0.0
2024-11-12,6.696156472,0.0,0.0
2024-11-13,6.672985249,0.0,0.0
2024-11-14,6.821451255,0.0,0.0
2024-11-15,7.077901078,0.0,0.0
2024-11-16,6.932504336,0.0,0.0
2024-11-17,7.174235295,0.0,0.0
2024-11-18,6.801302137,0.0,0.0
2024-11-19,6.93236127,0.0,0.0
2024-11-20,6.498039434,0.0,0.0
2024-11-21,6.343020959,0.0,0.0
2024-11-22,6.716544871,0.0,0.0
2024-11-23,7.032018601,0.0,0.0
2024-11-24,7.08009425,0.0,0.0
2024-11-25,6.625876803,0.0,0.0
2024-11-26,7.029542395,0.0,0.0
2024-11-27,7.178346779,0.0,0.0
2024-11-28,6.877235578,0.0,0.0
2024-11-29,6.986751834,0.0,0.0
2024-11-30,7.315171034,0.0,0.0
2024-12-01,7.832601312,0.0,0.0
2024-12-02,6.453137238,0.0,0.0
2024-12-03,6.464117288,0.0,0.0
2024-12-04,5.814886914,0.0,0.0
2024-12-05,6.600443424,0.0,0.0
2024-12-06,7.258639764,0.0,0.0
2024-12-07,7.499793475,0.0,0.0
2024-12-08,7.743574353,0.0,0.0
2024-12-09,7.268297823,0.0,0.0
2024-12-10,7.102417839,0.0,0.0
2024-12-11,7.252632695,0.0,0.0
2024-12-12,5.810500611,0.0,0.0
2024-12-13,7.313993387,0.0,0.0
2024-12-14,7.703268236,0.0,0.0
2024-12-15,8.107252313,0.0,0.0
2024-12-16,7.419627481,0.0,0.0
2024-12-17,6.663481316,0.0,0.0
2024-12-18,7.352151368,0.0,0.0
2024-12-19,7.42603739,0.0,0.0
2024-12-20,7.411220847,0.0,0.0
2024-12-21,7.748611783,0.0,0.0
2024-12-22,7.748611783,0.0,0.0
2024-12-23,4.534239615,0.0,0.0
2024-12-24,7.054979572,0.0,0.0
2024-12-25,7.054979572,0.0,0.0
2024-12-26,7.937951821,0.0,0.0
2024-12-27,7.670199833,0.0,0.0
2024-12-28,3.090129083,0.0,0.0
2024-12-29,7.3366729,0.0,0.0
2024-12-30,7.296341124,0.0,0.0
2024-12-31,7.721842221,0.0,0.0
2025-01-01,8.18,0.0,0.0
2025-01-02,7.71,0.0,0.0
2025-01-03,7.15,0.0,0.0
2025-01-04,6.83,0.0,0.0
2025-01-05,7.66,0.0,0.0
2025-01-06,6.93,0.0,0.0
2025-01-07,7.1,0.0,0.0
2025-01-08,6.55,0.0,0.0
2025-01-09,7.03,0.0,0.0
2025-01-10,7.05,0.0,0.0
2025-01-11,7.19,0.0,0.0
2025-01-12,7.64,0.0,0.0
2025-01-13,6.93,0.0,0.0
2025-01-14,6.52,0.0,0.0
2025-01-15,6.69,0.0,0.0
2025-01-16,6.59,0.0,0.0
2025-01-17,6.72,0.0,0.0
2025-01-18,7.32,0.0,0.0
2025-01-19,7.54,0.0,0.0
2025-01-20,6.37,0.0,0.0
2025-01-21,6.77,0.0,0.0
2025-01-22,6.64,0.0,0.0
2025-01-23,6.58,0.0,0.0
2025-01-24,6.66,0.0,0.0
2025-01-25,6.82,0.0,0.0
2025-01-26,7.35,0.0,0.0
2025-01-27,6.93,0.0,0.0
2025-01-28,6.95,0.0,0.0
2025-01-29,6.73,0.0,0.0
2025-01-30,6.77,0.0,0.0
