Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,108.3491883,0.0,0.0
2024-10-02,107.1316205,0.0,0.0
2024-10-03,107.6142094,0.0,0.0
2024-10-04,109.4994594,0.0,0.0
2024-10-05,115.0183696,0.0,0.0
2024-10-06,120.4012245,0.0,0.0
2024-10-07,107.2367947,0.0,0.0
2024-10-08,106.9693882,0.0,0.0
2024-10-09,108.8271627,0.0,0.0
2024-10-10,113.9814029,0.0,0.0
2024-10-11,117.4542104,0.0,0.0
2024-10-12,117.978111,0.0,0.0
2024-10-13,123.8731379,0.0,0.0
2024-10-14,110.504521,0.0,0.0
2024-10-15,110.5935358,0.0,0.0
2024-10-16,107.9256718,0.0,0.0
2024-10-17,109.800499,0.0,0.0
2024-10-18,113.459458,0.0,0.0
2024-10-19,117.0865512,0.0,0.0
2024-10-20,124.1060511,0.0,0.0
2024-10-21,108.1845757,0.0,0.0
2024-10-22,110.0883798,0.0,0.0
2024-10-23,109.4971266,0.0,0.0
2024-10-24,114.110232,0.0,0.0
2024-10-25,116.1779823,0.0,0.0
2024-10-26,118.2935797,0.0,0.0
2024-10-27,125.7569448,0.0,0.0
2024-10-28,108.8260769,0.0,0.0
2024-10-29,108.0939376,0.0,0.0
2024-10-30,108.2003768,0.0,0.0
2024-11-01,52.32187614,0.0,0.0
2024-11-02,113.7983909,0.0,0.0
2024-11-03,121.8008305,0.0,0.0
2024-11-04,108.8143641,0.0,0.0
2024-11-05,106.1123302,0.0,0.0
2024-11-06,105.2340172,0.0,0.0
2024-11-07,107.2415416,0.0,0.0
2024-11-08,109.5468429,0.0,0.0
2024-11-09,114.4775752,0.0,0.0
2024-11-10,122.5412943,0.0,0.0
2024-11-11,110.8221455,0.0,0.0
2024-11-12,107.9478842,0.0,0.0
2024-11-13,106.573815,0.0,0.0
2024-11-14,106.0849678,0.0,0.0
2024-11-15,108.5956729,0.0,0.0
2024-11-16,112.5462391,0.0,0.0
2024-11-17,115.3704598,0.0,0.0
2024-11-18,104.9075395,0.0,0.0
2024-11-19,108.8071176,0.0,0.0
2024-11-20,106.6276546,0.0,0.0
2024-11-21,107.0981486,0.0,0.0
2024-11-22,109.6869847,0.0,0.0
2024-11-23,113.2264062,0.0,0.0
2024-11-24,117.5785797,0.0,0.0
2024-11-25,111.9482979,0.0,0.0
2024-11-26,114.7130881,0.0,0.0
2024-11-27,121.7884948,0.0,0.0
2024-11-28,113.1959176,0.0,0.0
2024-11-29,113.1203605,0.0,0.0
2024-11-30,116.1468778,0.0,0.0
2024-12-01,115.8180651,0.0,0.0
2024-12-02,105.3289584,0.0,0.0
2024-12-03,104.4320213,0.0,0.0
2024-12-04,106.7634847,0.0,0.0
2024-12-05,109.5915026,0.0,0.0
2024-12-06,110.6448461,0.0,0.0
2024-12-07,114.596494,0.0,0.0
2024-12-08,119.0841849,0.0,0.0
2024-12-09,105.7458955,0.0,0.0
2024-12-10,105.4361202,0.0,0.0
2024-12-11,104.9605111,0.0,0.0
2024-12-12,111.8218667,0.0,0.0
2024-12-13,109.215028,0.0,0.0
2024-12-14,122.7033094,0.0,0.0
2024-12-15,124.1916373,0.0,0.0
2024-12-16,108.4702985,0.0,0.0
2024-12-17,108.7223796,0.0,0.0
2024-12-18,108.0508639,0.0,0.0
2024-12-19,107.7777498,0.0,0.0
2024-12-20,108.8430854,0.0,0.0
2024-12-21,116.9192094,0.0,0.0
2024-12-22,116.9192094,0.0,0.0
2024-12-23,111.5253608,0.0,0.0
2024-12-24,113.2989574,0.0,0.0
2024-12-25,113.2989574,0.0,0.0
2024-12-26,115.1583402,0.0,0.0
2024-12-27,115.9304645,0.0,0.0
2024-12-28,119.8847644,0.0,0.0
2024-12-29,125.5375742,0.0,0.0
2024-12-30,117.5152689,0.0,0.0
2024-12-31,123.2090775,0.0,0.0
2025-01-01,131.57,0.0,0.0
2025-01-02,112.36,0.0,0.0
2025-01-03,108.63,0.0,0.0
2025-01-04,108.52,0.0,0.0
2025-01-05,110.43,0.0,0.0
2025-01-06,101.53,0.0,0.0
2025-01-07,99.29,0.0,0.0
2025-01-08,99.73,0.0,0.0
2025-01-09,100.54,0.0,0.0
2025-01-10,102.35,0.0,0.0
2025-01-11,105.91,0.0,0.0
2025-01-12,109.31,0.0,0.0
2025-01-13,98.85,0.0,0.0
2025-01-14,99.77,0.0,0.0
2025-01-15,98.95,0.0,0.0
2025-01-16,99.23,0.0,0.0
2025-01-17,101.03,0.0,0.0
2025-01-18,103.51,0.0,0.0
2025-01-19,106.41,0.0,0.0
2025-01-20,98.12,0.0,0.0
2025-01-21,98.29,0.0,0.0
2025-01-22,98.67,0.0,0.0
2025-01-23,100.56,0.0,0.0
2025-01-24,101.17,0.0,0.0
2025-01-25,104.65,0.0,0.0
2025-01-26,115.66,0.0,0.0
2025-01-27,115.43,0.0,0.0
2025-01-28,108.6,0.0,0.0
2025-01-29,105.84,0.0,0.0
2025-01-30,98.19,0.0,0.0
2025-01-31,99.05,0.0,0.0
2025-02-01,101.38,0.0,0.0
2025-02-02,106.47,0.0,0.0
2025-02-03,95.23,0.0,0.0
2025-02-04,96.31,0.0,0.0
2025-02-05,95.4,0.0,0.0
2025-02-06,97.52,0.0,0.0
2025-02-07,99.86,0.0,0.0
2025-02-08,103.09,0.0,0.0
2025-02-09,108.1,0.0,0.0
2025-02-10,97.04,0.0,0.0
2025-02-11,96.51,0.0,0.0
2025-02-12,97.87,0.0,0.0
2025-02-13,99.05,0.0,0.0
2025-02-14,100.45,0.0,0.0
2025-02-15,104.33,0.0,0.0
2025-02-16,108.34,0.0,0.0
2025-02-17,98.13,0.0,0.0
2025-02-18,96.15,0.0,0.0
2025-02-19,95.64,0.0,0.0
2025-02-20,96.52,0.0,0.0
2025-02-21,100.16,0.0,0.0
2025-02-22,105.21,0.0,0.0
2025-02-23,108.74,0.0,0.0
2025-02-24,99.34,0.0,0.0
2025-02-25,97.35,0.0,0.0
2025-02-26,102.88,0.0,0.0
2025-02-27,100.1,0.0,0.0
2025-02-28,101.31,0.0,0.0
2025-03-01,99.17,0.0,0.0
2025-03-02,105.64,0.0,0.0
2025-03-03,96.66,0.0,0.0
2025-03-04,91.94,0.0,0.0
2025-03-05,95.33,0.0,0.0
2025-03-06,96.47,0.0,0.0
2025-03-07,99.49,0.0,0.0
2025-03-08,103.84,0.0,0.0
2025-03-09,106.22,0.0,0.0
2025-03-10,97.14,0.0,0.0
2025-03-11,97.41,0.0,0.0
2025-03-12,96.92,0.0,0.0
2025-03-13,100.43,0.0,0.0
2025-03-14,101.12,0.0,0.0
2025-03-15,104.57,0.0,0.0
2025-03-16,106.54,0.0,0.0
2025-03-17,99.01,0.0,0.0
2025-03-18,99.81,0.0,0.0
2025-03-19,102.07,0.0,0.0
2025-03-20,104.21,0.0,0.0
2025-03-21,103.34,0.0,0.0
2025-03-22,110.79,0.0,0.0
2025-03-23,114.13,0.0,0.0
2025-03-24,107.53,0.0,0.0
2025-03-25,104.88,0.0,0.0
2025-03-26,109.24,0.0,0.0
2025-03-27,115.32,0.0,0.0
2025-03-28,128.52,0.0,0.0
2025-03-29,135.43,0.0,0.0
2025-03-30,151.55,0.0,0.0
2025-03-31,173.01,0.0,0.0
2025-04-01,186.22,0.0,0.0
2025-04-02,191.06,0.0,0.0
2025-04-03,179.4605057,0.0,0.0
2025-04-04,168.2039474,0.0,0.0
2025-04-05,155.1856853,0.0,0.0
2025-04-06,143.1724512,0.0,0.0
2025-04-07,128.4509578,0.0,0.0
2025-04-08,120.1026857,0.0,0.0
2025-04-09,117.4516471,0.0,0.0
2025-04-10,116.2031513,0.0,0.0
2025-04-11,113.7073311,0.0,0.0
2025-04-12,118.8821607,0.0,0.0
2025-04-13,117.8496334,0.0,0.0
2025-04-14,105.9549892,0.0,0.0
2025-04-15,103.9126534,0.0,0.0
2025-04-16,102.4428974,0.0,0.0
2025-04-17,105.4048744,0.0,0.0
2025-04-18,112.1608609,0.0,0.0
2025-04-19,111.7293516,0.0,0.0
2025-04-20,112.8527263,0.0,0.0
2025-04-21,104.7640138,0.0,0.0
2025-04-22,101.9180135,0.0,0.0
2025-04-23,102.8608787,0.0,0.0
2025-04-24,105.2726451,0.0,0.0
2025-04-25,107.1192719,0.0,0.0
2025-04-26,115.3894695,0.0,0.0
2025-04-27,117.5913873,0.0,0.0
2025-04-28,102.2254211,0.0,0.0
2025-04-29,100.9183476,0.0,0.0
2025-04-30,102.2083336,0.0,0.0
2025-05-01,105.40367,0.0,0.0
2025-05-02,105.088603,0.0,0.0
2025-05-03,109.4582836,0.0,0.0
2025-05-04,112.6457683,0.0,0.0
2025-05-05,99.96308468,0.0,0.0
2025-05-06,99.29789363,0.0,0.0
2025-05-07,102.3244376,0.0,0.0
2025-05-08,101.6809919,0.0,0.0
2025-05-09,104.5671237,0.0,0.0
2025-05-10,111.3728317,0.0,0.0
2025-05-11,123.7658696,0.0,0.0
2025-05-12,117.847717,0.0,0.0
2025-05-13,106.2322695,0.0,0.0
2025-05-14,103.6209806,0.0,0.0
2025-05-15,103.4011084,0.0,0.0
2025-05-16,102.7714178,0.0,0.0
2025-05-17,105.65669,0.0,0.0
2025-05-18,109.5155016,0.0,0.0
2025-05-19,100.7807372,0.0,0.0
2025-05-20,99.44530654,0.0,0.0
2025-05-21,101.0823908,0.0,0.0
2025-05-22,106.9119798,0.0,0.0
2025-05-23,103.9396757,0.0,0.0
2025-05-24,110.4827287,0.0,0.0
2025-05-25,113.0241044,0.0,0.0
2025-05-26,101.8422151,0.0,0.0
2025-05-27,99.57471909,0.0,0.0
2025-05-28,103.7248422,0.0,0.0
2025-05-29,107.0279071,0.0,0.0
2025-05-30,105.7995748,0.0,0.0
2025-05-31,112.5657124,0.0,0.0
2025-06-01,110.8026914,0.0,0.0
2025-06-02,100.490854,0.0,0.0
2025-06-03,102.4896513,0.0,0.0
2025-06-04,103.5815147,0.0,0.0
2025-06-05,114.8929164,0.0,0.0
2025-06-06,124.0016953,0.0,0.0
2025-06-07,118.0733213,0.0,0.0
2025-06-08,119.8011236,0.0,0.0
2025-06-09,107.9623249,0.0,0.0
2025-06-10,102.8260136,0.0,0.0
2025-06-11,103.3061935,0.0,0.0
2025-06-12,105.6296576,0.0,0.0
2025-06-13,104.735772,0.0,0.0
2025-06-14,110.8706689,0.0,0.0
2025-06-15,114.0119958,0.0,0.0
2025-06-16,102.4271465,0.0,0.0
2025-06-17,103.7399574,0.0,0.0
2025-06-18,101.730038,0.0,0.0
2025-06-19,101.6907966,0.0,0.0
2025-06-20,101.8096162,0.0,0.0
2025-06-21,110.1247874,0.0,0.0
2025-06-22,114.4837335,0.0,0.0
2025-06-23,102.8220051,0.0,0.0
2025-06-24,103.3934938,0.0,0.0
2025-06-25,105.4094304,0.0,0.0
2025-06-26,105.6274987,0.0,0.0
2025-06-27,115.2655019,0.0,0.0
2025-06-28,114.2280255,0.0,0.0
2025-06-29,115.7296774,0.0,0.0
2025-06-30,102.8287643,0.0,0.0
2025-07-01,102.1031253,0.0,0.0
2025-07-02,101.9601218,0.0,0.0
2025-07-03,103.5982928,0.0,0.0
2025-07-04,106.7378944,0.0,0.0
2025-07-05,110.8004524,0.0,0.0
2025-07-06,117.1541327,0.0,0.0
2025-07-07,106.4276289,0.0,0.0
2025-07-08,102.3723859,0.0,0.0
2025-07-09,100.7082282,0.0,0.0
2025-07-10,100.7650718,0.0,0.0
2025-07-11,102.9078938,0.0,0.0
2025-07-12,108.2998714,0.0,0.0
2025-07-13,108.4944111,0.0,0.0
2025-07-14,100.7765091,0.0,0.0
2025-07-15,101.06162,0.0,0.0
2025-07-16,100.4143265,0.0,0.0
2025-07-17,101.5550281,0.0,0.0
2025-07-18,104.0485955,0.0,0.0
2025-07-19,107.8392,0.0,0.0
2025-07-20,111.1177396,0.0,0.0
2025-07-21,103.3404712,0.0,0.0
2025-07-22,101.8521045,0.0,0.0
2025-07-23,101.3600141,0.0,0.0
2025-07-24,102.2236825,0.0,0.0
2025-07-25,103.7814332,0.0,0.0
2025-07-26,106.5338262,0.0,0.0
2025-07-27,110.4612007,0.0,0.0
2025-07-28,98.47261177,0.0,0.0
2025-07-29,100.6942276,0.0,0.0
2025-07-30,98.96723846,0.0,0.0
2025-07-31,99.74529361,0.0,0.0
2025-08-01,102.6060148,0.0,0.0
2025-08-02,106.5324407,0.0,0.0
2025-08-03,111.3767163,0.0,0.0
2025-08-04,99.35101421,0.0,0.0
2025-08-05,100.2799044,0.0,0.0
2025-08-06,101.0136226,0.0,0.0
2025-08-07,102.2436334,0.0,0.0
2025-08-08,105.1186866,0.0,0.0
2025-08-09,109.7245909,0.0,0.0
2025-08-10,114.3145051,0.0,0.0
2025-08-11,102.8145036,0.0,0.0
2025-08-12,100.8616041,0.0,0.0
2025-08-13,102.5560704,0.0,0.0
2025-08-14,103.0030638,0.0,0.0
2025-08-15,102.1246416,0.0,0.0
2025-08-16,106.8446068,0.0,0.0
2025-08-17,117.4700083,0.0,0.0
2025-08-18,106.2778411,0.0,0.0
2025-08-19,103.9583682,0.0,0.0
2025-08-20,102.0483543,0.0,0.0
2025-08-21,104.1213821,0.0,0.0
2025-08-22,104.017154,0.0,0.0
2025-08-23,111.1801971,0.0,0.0
2025-08-24,118.9995394,0.0,0.0
2025-08-25,102.872426,0.0,0.0
2025-08-26,101.2113203,0.0,0.0
2025-08-27,102.9684295,0.0,0.0
2025-08-28,99.87389018,0.0,0.0
2025-08-29,106.5278194,0.0,0.0
2025-08-30,115.3931264,0.0,0.0
2025-08-31,116.8990968,0.0,0.0
2025-09-01,100.5518097,0.0,0.0
2025-09-02,101.6865781,0.0,0.0
2025-09-03,101.8811186,0.0,0.0
2025-09-04,103.6729225,0.0,0.0
2025-09-05,113.3515346,0.0,0.0
2025-09-06,116.7055637,0.0,0.0
2025-09-07,117.3472061,0.0,0.0
2025-09-08,103.4334973,0.0,0.0
2025-09-09,100.9127651,0.0,0.0
2025-09-10,101.7823373,0.0,0.0
2025-09-11,99.90324211,0.0,0.0
2025-09-12,102.6991139,0.0,0.0
2025-09-13,108.1727492,0.0,0.0
2025-09-14,116.4924018,0.0,0.0
