Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,99.59614013,0.0,0.0
2024-10-02,100.0978199,0.0,0.0
2024-10-03,99.00398318,0.0,0.0
2024-10-04,101.0015682,0.0,0.0
2024-10-05,106.3845734,0.0,0.0
2024-10-06,109.5095026,0.0,0.0
2024-10-07,98.05600533,0.0,0.0
2024-10-08,100.0055749,0.0,0.0
2024-10-09,100.1574729,0.0,0.0
2024-10-10,103.1856673,0.0,0.0
2024-10-11,107.1161009,0.0,0.0
2024-10-12,107.1306712,0.0,0.0
2024-10-13,112.5629873,0.0,0.0
2024-10-14,100.0210368,0.0,0.0
2024-10-15,99.09791089,0.0,0.0
2024-10-16,98.32411573,0.0,0.0
2024-10-17,101.2691305,0.0,0.0
2024-10-18,103.8281243,0.0,0.0
2024-10-19,109.4218801,0.0,0.0
2024-10-20,117.4965978,0.0,0.0
2024-10-21,99.64972194,0.0,0.0
2024-10-22,101.0678332,0.0,0.0
2024-10-23,100.2921931,0.0,0.0
2024-10-24,103.9387421,0.0,0.0
2024-10-25,107.4256027,0.0,0.0
2024-10-26,107.4599333,0.0,0.0
2024-10-27,113.037587,0.0,0.0
2024-10-28,99.55440826,0.0,0.0
2024-10-29,100.2714373,0.0,0.0
2024-10-30,100.6594091,0.0,0.0
2024-11-01,49.49472271,0.0,0.0
2024-11-02,106.0425998,0.0,0.0
2024-11-03,112.0223047,0.0,0.0
2024-11-04,97.75140811,0.0,0.0
2024-11-05,96.1230683,0.0,0.0
2024-11-06,97.64096101,0.0,0.0
2024-11-07,97.51313933,0.0,0.0
2024-11-08,100.1949976,0.0,0.0
2024-11-09,107.0413038,0.0,0.0
2024-11-10,111.2444728,0.0,0.0
2024-11-11,101.1244295,0.0,0.0
2024-11-12,98.8030418,0.0,0.0
2024-11-13,97.04382386,0.0,0.0
2024-11-14,97.346571,0.0,0.0
2024-11-15,100.5674827,0.0,0.0
2024-11-16,103.122,0.0,0.0
2024-11-17,103.8122846,0.0,0.0
2024-11-18,95.0479649,0.0,0.0
2024-11-19,98.36343779,0.0,0.0
2024-11-20,97.85657083,0.0,0.0
2024-11-21,96.88376632,0.0,0.0
2024-11-22,101.6124734,0.0,0.0
2024-11-23,104.6900606,0.0,0.0
2024-11-24,107.9680869,0.0,0.0
2024-11-25,100.8002753,0.0,0.0
2024-11-26,102.5291835,0.0,0.0
2024-11-27,106.1510936,0.0,0.0
2024-11-28,101.7415482,0.0,0.0
2024-11-29,100.7035879,0.0,0.0
2024-11-30,104.8678698,0.0,0.0
2024-12-01,103.8345865,0.0,0.0
2024-12-02,95.69075725,0.0,0.0
2024-12-03,96.30809434,0.0,0.0
2024-12-04,98.34732555,0.0,0.0
2024-12-05,101.1246896,0.0,0.0
2024-12-06,100.2314414,0.0,0.0
2024-12-07,103.8165341,0.0,0.0
2024-12-08,108.5043382,0.0,0.0
2024-12-09,101.7317656,0.0,0.0
2024-12-10,101.1588668,0.0,0.0
2024-12-11,100.3645848,0.0,0.0
2024-12-12,105.6071661,0.0,0.0
2024-12-13,102.248675,0.0,0.0
2024-12-14,105.5828173,0.0,0.0
2024-12-15,109.0502817,0.0,0.0
2024-12-16,100.9891441,0.0,0.0
2024-12-17,100.5997527,0.0,0.0
2024-12-18,99.69998585,0.0,0.0
2024-12-19,100.528374,0.0,0.0
2024-12-20,100.2505129,0.0,0.0
2024-12-21,105.1567382,0.0,0.0
2024-12-22,105.1567382,0.0,0.0
2024-12-23,105.7214787,0.0,0.0
2024-12-24,108.4937456,0.0,0.0
2024-12-25,108.4937456,0.0,0.0
2024-12-26,107.5523364,0.0,0.0
2024-12-27,107.8889688,0.0,0.0
2024-12-28,112.3088359,0.0,0.0
2024-12-29,115.4456174,0.0,0.0
2024-12-30,110.0914556,0.0,0.0
2024-12-31,113.0272194,0.0,0.0
2025-01-01,117.62,0.0,0.0
2025-01-02,101.99,0.0,0.0
2025-01-03,99.29,0.0,0.0
2025-01-04,99.44,0.0,0.0
2025-01-05,101.1,0.0,0.0
2025-01-06,94.77,0.0,0.0
2025-01-07,92.76,0.0,0.0
2025-01-08,92.31,0.0,0.0
2025-01-09,91.98,0.0,0.0
2025-01-10,95.06,0.0,0.0
2025-01-11,98.02,0.0,0.0
2025-01-12,97.75,0.0,0.0
2025-01-13,90.31,0.0,0.0
2025-01-14,91.12,0.0,0.0
2025-01-15,90.28,0.0,0.0
2025-01-16,91.68,0.0,0.0
2025-01-17,94.93,0.0,0.0
2025-01-18,95.23,0.0,0.0
2025-01-19,98.04,0.0,0.0
2025-01-20,91.22,0.0,0.0
2025-01-21,92.87,0.0,0.0
2025-01-22,91.43,0.0,0.0
2025-01-23,92.29,0.0,0.0
2025-01-24,93.62,0.0,0.0
2025-01-25,97.52,0.0,0.0
2025-01-26,106.84,0.0,0.0
2025-01-27,108.28,0.0,0.0
2025-01-28,99.81,0.0,0.0
2025-01-29,97.53,0.0,0.0
2025-01-30,92.46,0.0,0.0
2025-01-31,91.75,0.0,0.0
2025-02-01,92.58,0.0,0.0
2025-02-02,98.44,0.0,0.0
2025-02-03,87.39,0.0,0.0
2025-02-04,89.41,0.0,0.0
2025-02-05,88.7,0.0,0.0
2025-02-06,89.45,0.0,0.0
2025-02-07,92.69,0.0,0.0
2025-02-08,96.7,0.0,0.0
2025-02-09,98.3,0.0,0.0
2025-02-10,89.44,0.0,0.0
2025-02-11,88.62,0.0,0.0
2025-02-12,89.45,0.0,0.0
2025-02-13,0.0,0.0,0.0
2025-02-14,92.08,0.0,0.0
2025-02-15,95.85,0.0,0.0
2025-02-16,99.31,0.0,0.0
2025-02-17,90.05,0.0,0.0
2025-02-18,90.35,0.0,0.0
2025-02-19,90.83,0.0,0.0
2025-02-20,91.35,0.0,0.0
2025-02-21,95.75,0.0,0.0
2025-02-22,99.95,0.0,0.0
2025-02-23,100.31,0.0,0.0
2025-02-24,93.37,0.0,0.0
2025-02-25,92.75,0.0,0.0
2025-02-26,96.44,0.0,0.0
2025-02-27,94.76,0.0,0.0
2025-02-28,93.87,0.0,0.0
2025-03-01,93.41,0.0,0.0
2025-03-02,97.86,0.0,0.0
2025-03-03,92.35,0.0,0.0
2025-03-04,87.99,0.0,0.0
2025-03-05,90.11,0.0,0.0
2025-03-06,92.79,0.0,0.0
2025-03-07,95.19,0.0,0.0
2025-03-08,100.75,0.0,0.0
2025-03-09,98.5,0.0,0.0
2025-03-10,92.5,0.0,0.0
2025-03-11,91.65,0.0,0.0
2025-03-12,94.32,0.0,0.0
2025-03-13,92.75,0.0,0.0
2025-03-14,95.37,0.0,0.0
2025-03-15,97.06,0.0,0.0
2025-03-16,99.3,0.0,0.0
2025-03-17,94.65,0.0,0.0
2025-03-18,94.88,0.0,0.0
2025-03-19,97.46,0.0,0.0
