Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,16.61754962,0.0,0.0
2024-10-02,16.21216227,0.0,0.0
2024-10-03,16.07762657,0.0,0.0
2024-10-04,16.50917618,0.0,0.0
2024-10-05,17.63888189,0.0,0.0
2024-10-06,18.82843077,0.0,0.0
2024-10-07,16.22474036,0.0,0.0
2024-10-08,16.42645075,0.0,0.0
2024-10-09,16.62306548,0.0,0.0
2024-10-10,17.36777168,0.0,0.0
2024-10-11,17.43997797,0.0,0.0
2024-10-12,18.11251419,0.0,0.0
2024-10-13,18.56695517,0.0,0.0
2024-10-14,16.12774618,0.0,0.0
2024-10-15,16.83593189,0.0,0.0
2024-10-16,16.48197336,0.0,0.0
2024-10-17,17.18020624,0.0,0.0
2024-10-18,18.22340671,0.0,0.0
2024-10-19,18.56560929,0.0,0.0
2024-10-20,20.21459405,0.0,0.0
2024-10-21,16.79954378,0.0,0.0
2024-10-22,16.95465366,0.0,0.0
2024-10-23,16.97365758,0.0,0.0
2024-10-24,17.21043868,0.0,0.0
2024-10-25,17.67411266,0.0,0.0
2024-10-26,18.5550112,0.0,0.0
2024-10-27,19.51174387,0.0,0.0
2024-10-28,16.620488,0.0,0.0
2024-10-29,17.21431386,0.0,0.0
2024-10-30,16.79057677,0.0,0.0
2024-11-01,8.092791522,0.0,0.0
2024-11-02,17.64568615,0.0,0.0
2024-11-03,19.09189507,0.0,0.0
2024-11-04,16.20211369,0.0,0.0
2024-11-05,16.14487403,0.0,0.0
2024-11-06,16.21859656,0.0,0.0
2024-11-07,16.13167537,0.0,0.0
2024-11-08,16.25138886,0.0,0.0
2024-11-09,17.78992771,0.0,0.0
2024-11-10,18.50512946,0.0,0.0
2024-11-11,16.61100651,0.0,0.0
2024-11-12,16.76565867,0.0,0.0
2024-11-13,16.6262309,0.0,0.0
2024-11-14,16.60327867,0.0,0.0
2024-11-15,17.07877042,0.0,0.0
2024-11-16,17.43590335,0.0,0.0
2024-11-17,17.46644393,0.0,0.0
2024-11-18,15.75265324,0.0,0.0
2024-11-19,16.76585341,0.0,0.0
2024-11-20,16.28293811,0.0,0.0
2024-11-21,16.55147622,0.0,0.0
2024-11-22,16.17743853,0.0,0.0
2024-11-23,16.8012365,0.0,0.0
2024-11-24,17.35471384,0.0,0.0
2024-11-25,15.65857421,0.0,0.0
2024-11-26,16.05840294,0.0,0.0
2024-11-27,16.99826471,0.0,0.0
2024-11-28,17.02083038,0.0,0.0
2024-11-29,17.06314269,0.0,0.0
2024-11-30,17.68177526,0.0,0.0
2024-12-01,17.50177601,0.0,0.0
2024-12-02,15.12676951,0.0,0.0
2024-12-03,15.31833358,0.0,0.0
2024-12-04,16.02769661,0.0,0.0
2024-12-05,16.14681105,0.0,0.0
2024-12-06,16.43288614,0.0,0.0
2024-12-07,17.00103423,0.0,0.0
2024-12-08,17.44803186,0.0,0.0
2024-12-09,16.16728195,0.0,0.0
2024-12-10,16.59651102,0.0,0.0
2024-12-11,15.98306637,0.0,0.0
2024-12-12,17.35849586,0.0,0.0
2024-12-13,15.73602644,0.0,0.0
2024-12-14,17.04854134,0.0,0.0
2024-12-15,17.77103441,0.0,0.0
2024-12-16,16.12430903,0.0,0.0
2024-12-17,16.44217001,0.0,0.0
2024-12-18,15.93934663,0.0,0.0
2024-12-19,16.21294348,0.0,0.0
2024-12-20,16.30341878,0.0,0.0
2024-12-21,17.40888744,0.0,0.0
2024-12-22,17.40888744,0.0,0.0
2024-12-23,16.47530065,0.0,0.0
2024-12-24,17.49071782,0.0,0.0
2024-12-25,17.49071782,0.0,0.0
2024-12-26,18.54588316,0.0,0.0
2024-12-27,18.01443801,0.0,0.0
2024-12-28,18.96969831,0.0,0.0
2024-12-29,19.48840053,0.0,0.0
2024-12-30,17.95119623,0.0,0.0
2024-12-31,18.51095555,0.0,0.0
2025-01-01,19.91,0.0,0.0
2025-01-02,16.66,0.0,0.0
2025-01-03,16.12,0.0,0.0
2025-01-04,16.4,0.0,0.0
2025-01-05,16.26,0.0,0.0
2025-01-06,14.74,0.0,0.0
2025-01-07,14.51,0.0,0.0
2025-01-08,14.37,0.0,0.0
2025-01-09,14.64,0.0,0.0
2025-01-10,14.89,0.0,0.0
2025-01-11,15.26,0.0,0.0
2025-01-12,16.19,0.0,0.0
2025-01-13,13.88,0.0,0.0
2025-01-14,14.09,0.0,0.0
2025-01-15,13.51,0.0,0.0
2025-01-16,13.72,0.0,0.0
2025-01-17,14.04,0.0,0.0
2025-01-18,14.55,0.0,0.0
2025-01-19,15.29,0.0,0.0
2025-01-20,14.12,0.0,0.0
2025-01-21,13.95,0.0,0.0
2025-01-22,13.6,0.0,0.0
2025-01-23,14.38,0.0,0.0
2025-01-24,14.35,0.0,0.0
2025-01-25,15.2,0.0,0.0
2025-01-26,17.77,0.0,0.0
2025-01-27,17.64,0.0,0.0
2025-01-28,16.71,0.0,0.0
2025-01-29,15.76,0.0,0.0
2025-01-30,13.92,0.0,0.0
2025-01-31,14.19,0.0,0.0
2025-02-01,14.49,0.0,0.0
2025-02-02,15.03,0.0,0.0
2025-02-03,13.75,0.0,0.0
2025-02-04,14.35,0.0,0.0
2025-02-05,14.03,0.0,0.0
2025-02-06,14.45,0.0,0.0
2025-02-07,13.97,0.0,0.0
2025-02-08,14.59,0.0,0.0
2025-02-09,15.04,0.0,0.0
2025-02-10,13.68,0.0,0.0
2025-02-11,13.87,0.0,0.0
2025-02-12,14.17,0.0,0.0
2025-02-13,14.38,0.0,0.0
2025-02-14,14.46,0.0,0.0
2025-02-15,15.26,0.0,0.0
2025-02-16,15.77,0.0,0.0
2025-02-17,14.49,0.0,0.0
2025-02-18,14.14,0.0,0.0
2025-02-19,15.1,0.0,0.0
2025-02-20,14.78,0.0,0.0
2025-02-21,15.25,0.0,0.0
2025-02-22,16.07,0.0,0.0
2025-02-23,16.27,0.0,0.0
2025-02-24,14.92,0.0,0.0
2025-02-25,14.87,0.0,0.0
2025-02-26,14.93,0.0,0.0
2025-02-27,15.02,0.0,0.0
2025-02-28,14.84,0.0,0.0
2025-03-01,14.65,0.0,0.0
2025-03-02,15.26,0.0,0.0
2025-03-03,14.78,0.0,0.0
2025-03-04,14.45,0.0,0.0
2025-03-05,15.02,0.0,0.0
2025-03-06,14.94,0.0,0.0
2025-03-07,15.23,0.0,0.0
2025-03-08,15.45,0.0,0.0
2025-03-09,15.38,0.0,0.0
2025-03-10,15.05,0.0,0.0
2025-03-11,14.95,0.0,0.0
2025-03-12,15.6,0.0,0.0
2025-03-13,15.34,0.0,0.0
2025-03-14,15.81,0.0,0.0
2025-03-15,15.92,0.0,0.0
2025-03-16,16.29,0.0,0.0
2025-03-17,15.96,0.0,0.0
2025-03-18,15.79,0.0,0.0
2025-03-19,17.37,0.0,0.0
2025-03-20,16.91,0.0,0.0
2025-03-21,16.58,0.0,0.0
2025-03-22,17.56,0.0,0.0
2025-03-23,17.98,0.0,0.0
2025-03-24,18.57,0.0,0.0
2025-03-25,18.54,0.0,0.0
2025-03-26,19.73,0.0,0.0
2025-03-27,20.99,0.0,0.0
2025-03-28,24.01,0.0,0.0
2025-03-29,27.64,0.0,0.0
2025-03-30,34.13,0.0,0.0
2025-03-31,36.42,0.0,0.0
2025-04-01,39.38,0.0,0.0
2025-04-02,42.55,0.0,0.0
2025-04-03,40.22605552,0.0,0.0
