Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,75.90947047,0.0,0.0
2024-10-02,75.57119762,0.0,0.0
2024-10-03,75.67291303,0.0,0.0
2024-10-04,77.96043333,0.0,0.0
2024-10-05,78.86252879,0.0,0.0
2024-10-06,79.63832528,0.0,0.0
2024-10-07,73.70602977,0.0,0.0
2024-10-08,74.59975636,0.0,0.0
2024-10-09,75.66156224,0.0,0.0
2024-10-10,78.88680213,0.0,0.0
2024-10-11,80.12021673,0.0,0.0
2024-10-12,77.11912921,0.0,0.0
2024-10-13,78.52173003,0.0,0.0
2024-10-14,75.10972038,0.0,0.0
2024-10-15,77.6674774,0.0,0.0
2024-10-16,75.32050896,0.0,0.0
2024-10-17,76.89833921,0.0,0.0
2024-10-18,79.71244567,0.0,0.0
2024-10-19,77.14600166,0.0,0.0
2024-10-20,79.08555767,0.0,0.0
2024-10-21,74.71550337,0.0,0.0
2024-10-22,76.84289343,0.0,0.0
2024-10-23,78.08959415,0.0,0.0
2024-10-24,80.06197196,0.0,0.0
2024-10-25,83.72035367,0.0,0.0
2024-10-26,77.72303224,0.0,0.0
2024-10-27,82.37235511,0.0,0.0
2024-10-28,74.98508057,0.0,0.0
2024-10-29,75.35150397,0.0,0.0
2024-10-30,75.10486174,0.0,0.0
2024-11-01,35.27264655,0.0,0.0
2024-11-02,74.74953617,0.0,0.0
2024-11-03,76.22933375,0.0,0.0
2024-11-04,72.5778574,0.0,0.0
2024-11-05,72.10211601,0.0,0.0
2024-11-06,72.70909716,0.0,0.0
2024-11-07,72.52227118,0.0,0.0
2024-11-08,75.2380587,0.0,0.0
2024-11-09,73.55320854,0.0,0.0
2024-11-10,74.87327121,0.0,0.0
2024-11-11,73.04834148,0.0,0.0
2024-11-12,72.90900226,0.0,0.0
2024-11-13,71.38909651,0.0,0.0
2024-11-14,71.71637655,0.0,0.0
2024-11-15,75.99187146,0.0,0.0
2024-11-16,70.34421953,0.0,0.0
2024-11-17,72.98390743,0.0,0.0
2024-11-18,70.6633418,0.0,0.0
2024-11-19,73.47433349,0.0,0.0
2024-11-20,70.839307,0.0,0.0
2024-11-21,71.79715019,0.0,0.0
2024-11-22,74.69317495,0.0,0.0
2024-11-23,72.92626481,0.0,0.0
2024-11-24,71.15999771,0.0,0.0
2024-11-25,73.39907869,0.0,0.0
2024-11-26,75.84731822,0.0,0.0
2024-11-27,84.9345893,0.0,0.0
2024-11-28,79.14630482,0.0,0.0
2024-11-29,77.99142008,0.0,0.0
2024-11-30,74.61220812,0.0,0.0
2024-12-01,73.5256599,0.0,0.0
2024-12-02,71.10166557,0.0,0.0
2024-12-03,70.56815728,0.0,0.0
2024-12-04,73.03448165,0.0,0.0
2024-12-05,74.51089392,0.0,0.0
2024-12-06,77.55300659,0.0,0.0
2024-12-07,73.76194465,0.0,0.0
2024-12-08,75.43466448,0.0,0.0
2024-12-09,71.08988675,0.0,0.0
2024-12-10,70.94142859,0.0,0.0
2024-12-11,73.63709398,0.0,0.0
2024-12-12,77.72931152,0.0,0.0
2024-12-13,73.54285878,0.0,0.0
2024-12-14,74.1633846,0.0,0.0
2024-12-15,72.67985024,0.0,0.0
2024-12-16,71.86560311,0.0,0.0
2024-12-17,69.59069988,0.0,0.0
2024-12-18,69.91734917,0.0,0.0
2024-12-19,69.88689378,0.0,0.0
2024-12-20,72.30824463,0.0,0.0
2024-12-21,69.88567794,0.0,0.0
2024-12-22,69.88567794,0.0,0.0
2024-12-23,68.87290714,0.0,0.0
2024-12-24,70.97328038,0.0,0.0
2024-12-25,70.97328038,0.0,0.0
2024-12-26,71.72537729,0.0,0.0
2024-12-27,71.50148822,0.0,0.0
2024-12-28,71.21173754,0.0,0.0
2024-12-29,71.60609141,0.0,0.0
2024-12-30,67.66956845,0.0,0.0
2024-12-31,69.46774834,0.0,0.0
2025-01-01,72.99,0.0,0.0
2025-01-02,67.19,0.0,0.0
2025-01-03,65.78,0.0,0.0
2025-01-04,64.61,0.0,0.0
2025-01-05,64.58,0.0,0.0
2025-01-06,62.98,0.0,0.0
2025-01-07,62.34,0.0,0.0
2025-01-08,62.2,0.0,0.0
2025-01-09,62.39,0.0,0.0
2025-01-10,64.84,0.0,0.0
2025-01-11,62.75,0.0,0.0
2025-01-12,63.53,0.0,0.0
2025-01-13,58.87,0.0,0.0
2025-01-14,59.66,0.0,0.0
2025-01-15,58.67,0.0,0.0
2025-01-16,60.15,0.0,0.0
2025-01-17,60.88,0.0,0.0
2025-01-18,59.32,0.0,0.0
2025-01-19,59.71,0.0,0.0
2025-01-20,57.42,0.0,0.0
2025-01-21,59.59,0.0,0.0
2025-01-22,58.47,0.0,0.0
2025-01-23,57.67,0.0,0.0
2025-01-24,58.8,0.0,0.0
2025-01-25,57.12,0.0,0.0
2025-01-26,58.92,0.0,0.0
2025-01-27,62.52,0.0,0.0
2025-01-28,58.03,0.0,0.0
2025-01-29,57.69,0.0,0.0
2025-01-30,56.22,0.0,0.0
2025-01-31,56.59,0.0,0.0
2025-02-01,56.01,0.0,0.0
2025-02-02,58.82,0.0,0.0
2025-02-03,53.9,0.0,0.0
2025-02-04,55.1,0.0,0.0
2025-02-05,54.78,0.0,0.0
2025-02-06,56.75,0.0,0.0
