Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,59.79150296,0.0,0.0
2024-10-02,59.81389485,0.0,0.0
2024-10-03,59.84831279,0.0,0.0
2024-10-04,60.82893537,0.0,0.0
2024-10-05,62.37447991,0.0,0.0
2024-10-06,63.4946387,0.0,0.0
2024-10-07,59.90375912,0.0,0.0
2024-10-08,59.9123017,0.0,0.0
2024-10-09,59.79612313,0.0,0.0
2024-10-10,62.45481168,0.0,0.0
2024-10-11,65.19571102,0.0,0.0
2024-10-12,62.10026398,0.0,0.0
2024-10-13,63.45206945,0.0,0.0
2024-10-14,59.37991697,0.0,0.0
2024-10-15,60.50499946,0.0,0.0
2024-10-16,58.66873756,0.0,0.0
2024-10-17,60.01358204,0.0,0.0
2024-10-18,63.46196097,0.0,0.0
2024-10-19,64.0062451,0.0,0.0
2024-10-20,67.78959791,0.0,0.0
2024-10-21,59.85337437,0.0,0.0
2024-10-22,61.51406308,0.0,0.0
2024-10-23,61.01672118,0.0,0.0
2024-10-24,61.79695991,0.0,0.0
2024-10-25,64.69834821,0.0,0.0
2024-10-26,64.07172779,0.0,0.0
2024-10-27,66.89907318,0.0,0.0
2024-10-28,60.85945625,0.0,0.0
2024-10-29,60.12915737,0.0,0.0
2024-10-30,60.63357976,0.0,0.0
2024-11-01,28.38905328,0.0,0.0
2024-11-02,61.85408052,0.0,0.0
2024-11-03,64.73041625,0.0,0.0
2024-11-04,59.40985938,0.0,0.0
2024-11-05,57.26481274,0.0,0.0
2024-11-06,57.71101388,0.0,0.0
2024-11-07,57.95698133,0.0,0.0
2024-11-08,59.18379757,0.0,0.0
2024-11-09,59.53661558,0.0,0.0
2024-11-10,61.951392,0.0,0.0
2024-11-11,57.92864703,0.0,0.0
2024-11-12,58.22964778,0.0,0.0
2024-11-13,58.03244832,0.0,0.0
2024-11-14,58.38796907,0.0,0.0
2024-11-15,59.65626378,0.0,0.0
2024-11-16,59.72881118,0.0,0.0
2024-11-17,60.34554168,0.0,0.0
2024-11-18,57.47189537,0.0,0.0
2024-11-19,60.46669009,0.0,0.0
2024-11-20,60.60626435,0.0,0.0
2024-11-21,58.44966414,0.0,0.0
2024-11-22,62.14570121,0.0,0.0
2024-11-23,63.04081362,0.0,0.0
2024-11-24,64.21375807,0.0,0.0
2024-11-25,60.62186911,0.0,0.0
2024-11-26,61.43527532,0.0,0.0
2024-11-27,63.76863152,0.0,0.0
2024-11-28,61.60302924,0.0,0.0
2024-11-29,61.68515216,0.0,0.0
2024-11-30,61.98046012,0.0,0.0
2024-12-01,60.7019458,0.0,0.0
2024-12-02,57.02079802,0.0,0.0
2024-12-03,57.7009257,0.0,0.0
2024-12-04,59.12486743,0.0,0.0
2024-12-05,59.68737637,0.0,0.0
2024-12-06,59.7923857,0.0,0.0
2024-12-07,60.83914657,0.0,0.0
2024-12-08,62.17022604,0.0,0.0
2024-12-09,59.43545796,0.0,0.0
2024-12-10,59.90765299,0.0,0.0
2024-12-11,58.93274912,0.0,0.0
2024-12-12,64.32974925,0.0,0.0
2024-12-13,58.74222205,0.0,0.0
2024-12-14,61.69288185,0.0,0.0
2024-12-15,63.39136034,0.0,0.0
2024-12-16,66.30245346,0.0,0.0
2024-12-17,62.01937068,0.0,0.0
2024-12-18,59.9419663,0.0,0.0
2024-12-19,58.9566729,0.0,0.0
2024-12-20,59.81066046,0.0,0.0
2024-12-21,62.55116931,0.0,0.0
2024-12-22,62.55116931,0.0,0.0
2024-12-23,63.09168501,0.0,0.0
2024-12-24,62.91831129,0.0,0.0
2024-12-25,62.91831129,0.0,0.0
2024-12-26,63.63782843,0.0,0.0
2024-12-27,62.82398228,0.0,0.0
2024-12-28,65.92285367,0.0,0.0
2024-12-29,72.24655352,0.0,0.0
2024-12-30,62.26602799,0.0,0.0
2024-12-31,63.94760223,0.0,0.0
2025-01-01,66.0,0.0,0.0
2025-01-02,58.83,0.0,0.0
2025-01-03,56.04,0.0,0.0
2025-01-04,56.52,0.0,0.0
2025-01-05,58.27,0.0,0.0
2025-01-06,55.21,0.0,0.0
2025-01-07,54.3,0.0,0.0
2025-01-08,55.37,0.0,0.0
2025-01-09,54.62,0.0,0.0
2025-01-10,56.59,0.0,0.0
2025-01-11,55.91,0.0,0.0
2025-01-12,58.54,0.0,0.0
2025-01-13,53.94,0.0,0.0
2025-01-14,55.02,0.0,0.0
2025-01-15,55.13,0.0,0.0
2025-01-16,54.94,0.0,0.0
2025-01-17,57.0,0.0,0.0
2025-01-18,55.36,0.0,0.0
2025-01-19,58.14,0.0,0.0
2025-01-20,53.64,0.0,0.0
2025-01-21,55.17,0.0,0.0
2025-01-22,54.82,0.0,0.0
2025-01-23,55.68,0.0,0.0
2025-01-24,56.65,0.0,0.0
2025-01-25,56.91,0.0,0.0
2025-01-26,62.53,0.0,0.0
2025-01-27,60.58,0.0,0.0
2025-01-28,57.98,0.0,0.0
2025-01-29,55.97,0.0,0.0
2025-01-30,54.94,0.0,0.0
2025-01-31,55.26,0.0,0.0
2025-02-01,54.44,0.0,0.0
2025-02-02,56.84,0.0,0.0
2025-02-03,51.99,0.0,0.0
2025-02-04,52.37,0.0,0.0
2025-02-05,52.58,0.0,0.0
2025-02-06,53.57,0.0,0.0
2025-02-07,55.06,0.0,0.0
2025-02-08,53.46,0.0,0.0
2025-02-09,55.34,0.0,0.0
2025-02-10,51.79,0.0,0.0
2025-02-11,51.44,0.0,0.0
2025-02-12,53.11,0.0,0.0
2025-02-13,53.06,0.0,0.0
2025-02-14,53.65,0.0,0.0
2025-02-15,54.03,0.0,0.0
2025-02-16,56.26,0.0,0.0
2025-02-17,51.78,0.0,0.0
2025-02-18,51.19,0.0,0.0
2025-02-19,53.07,0.0,0.0
2025-02-20,56.77,0.0,0.0
2025-02-21,56.32,0.0,0.0
2025-02-22,56.9,0.0,0.0
2025-02-23,56.58,0.0,0.0
2025-02-24,54.37,0.0,0.0
2025-02-25,54.2,0.0,0.0
2025-02-26,57.41,0.0,0.0
2025-02-27,54.93,0.0,0.0
2025-02-28,53.94,0.0,0.0
2025-03-01,50.41,0.0,0.0
2025-03-02,53.2,0.0,0.0
2025-03-03,52.01,0.0,0.0
2025-03-04,50.91,0.0,0.0
2025-03-05,52.21,0.0,0.0
2025-03-06,52.93,0.0,0.0
2025-03-07,54.25,0.0,0.0
2025-03-08,55.2,0.0,0.0
2025-03-09,55.55,0.0,0.0
2025-03-10,56.04,0.0,0.0
2025-03-11,54.73,0.0,0.0
2025-03-12,55.06,0.0,0.0
2025-03-13,55.02,0.0,0.0
2025-03-14,56.14,0.0,0.0
2025-03-15,59.16,0.0,0.0
2025-03-16,59.22,0.0,0.0
2025-03-17,58.8,0.0,0.0
2025-03-18,57.42,0.0,0.0
2025-03-19,59.03,0.0,0.0
2025-03-20,59.06,0.0,0.0
2025-03-21,57.72,0.0,0.0
2025-03-22,60.19,0.0,0.0
2025-03-23,60.57,0.0,0.0
2025-03-24,59.16,0.0,0.0
2025-03-25,60.04,0.0,0.0
2025-03-26,62.62,0.0,0.0
2025-03-27,64.55,0.0,0.0
2025-03-28,71.79,0.0,0.0
2025-03-29,74.32,0.0,0.0
2025-03-30,84.09,0.0,0.0
2025-03-31,93.01,0.0,0.0
2025-04-01,101.19,0.0,0.0
2025-04-02,106.74,0.0,0.0
2025-04-03,101.0336579,0.0,0.0
2025-04-04,94.05622513,0.0,0.0
2025-04-05,87.62255111,0.0,0.0
2025-04-06,81.81012973,0.0,0.0
2025-04-07,75.13887987,0.0,0.0
2025-04-08,71.40430941,0.0,0.0
2025-04-09,69.97272296,0.0,0.0
2025-04-10,68.82078933,0.0,0.0
2025-04-11,66.04644688,0.0,0.0
2025-04-12,68.66926539,0.0,0.0
2025-04-13,67.34780014,0.0,0.0
2025-04-14,63.19513221,0.0,0.0
2025-04-15,61.39761394,0.0,0.0
2025-04-16,61.03745849,0.0,0.0
2025-04-17,64.15026142,0.0,0.0
2025-04-18,63.18486793,0.0,0.0
2025-04-19,63.43827951,0.0,0.0
2025-04-20,63.54992163,0.0,0.0
2025-04-21,60.74402149,0.0,0.0
2025-04-22,60.49577491,0.0,0.0
2025-04-23,60.6758337,0.0,0.0
2025-04-24,61.29467159,0.0,0.0
2025-04-25,61.35317151,0.0,0.0
2025-04-26,62.11962532,0.0,0.0
2025-04-27,63.73979164,0.0,0.0
2025-04-28,59.53594762,0.0,0.0
2025-04-29,60.25787467,0.0,0.0
2025-04-30,62.42398764,0.0,0.0
2025-05-01,61.48616257,0.0,0.0
2025-05-02,60.30324548,0.0,0.0
2025-05-03,60.81341709,0.0,0.0
2025-05-04,61.78092817,0.0,0.0
2025-05-05,59.49490719,0.0,0.0
2025-05-06,58.76745615,0.0,0.0
2025-05-07,60.82248347,0.0,0.0
2025-05-08,59.98414357,0.0,0.0
2025-05-09,62.8605533,0.0,0.0
2025-05-10,62.55070952,0.0,0.0
2025-05-11,66.21642008,0.0,0.0
2025-05-12,63.09836206,0.0,0.0
2025-05-13,60.18818436,0.0,0.0
2025-05-14,60.58404392,0.0,0.0
2025-05-15,60.18289123,0.0,0.0
2025-05-16,60.40748692,0.0,0.0
2025-05-17,61.50461273,0.0,0.0
2025-05-18,61.8775005,0.0,0.0
2025-05-19,59.30891535,0.0,0.0
2025-05-20,58.65268862,0.0,0.0
2025-05-21,60.67464365,0.0,0.0
2025-05-22,60.68055354,0.0,0.0
2025-05-23,61.59789338,0.0,0.0
2025-05-24,63.61532511,0.0,0.0
2025-05-25,62.48608542,0.0,0.0
2025-05-26,58.9094824,0.0,0.0
2025-05-27,58.588728,0.0,0.0
2025-05-28,59.87711699,0.0,0.0
2025-05-29,60.13647906,0.0,0.0
2025-05-30,60.39933872,0.0,0.0
2025-05-31,62.63626942,0.0,0.0
2025-06-01,60.70651217,0.0,0.0
2025-06-02,58.48593818,0.0,0.0
2025-06-03,59.67151866,0.0,0.0
2025-06-04,60.21245481,0.0,0.0
2025-06-05,64.83100388,0.0,0.0
2025-06-06,65.07949128,0.0,0.0
2025-06-07,64.31338095,0.0,0.0
2025-06-08,64.87128321,0.0,0.0
2025-06-09,60.31088137,0.0,0.0
2025-06-10,60.53146392,0.0,0.0
2025-06-11,60.43542991,0.0,0.0
2025-06-12,60.69917937,0.0,0.0
2025-06-13,62.09940146,0.0,0.0
2025-06-14,62.62817337,0.0,0.0
2025-06-15,62.2911044,0.0,0.0
2025-06-16,58.41372009,0.0,0.0
2025-06-17,59.97107296,0.0,0.0
2025-06-18,59.80361447,0.0,0.0
2025-06-19,59.9385446,0.0,0.0
2025-06-20,60.28862621,0.0,0.0
2025-06-21,62.86040373,0.0,0.0
2025-06-22,64.29045792,0.0,0.0
2025-06-23,61.31055667,0.0,0.0
2025-06-24,63.73311514,0.0,0.0
2025-06-25,65.16668067,0.0,0.0
