Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,98.40059566,0.0,0.0
2024-10-02,97.91811364,0.0,0.0
2024-10-03,86.59605761,0.0,0.0
2024-10-04,84.81342191,0.0,0.0
2024-10-05,105.1307358,0.0,0.0
2024-10-06,109.2047159,0.0,0.0
2024-10-07,95.81837105,0.0,0.0
2024-10-08,95.76345159,0.0,0.0
2024-10-09,98.38233044,0.0,0.0
2024-10-10,101.7112972,0.0,0.0
2024-10-11,104.1485307,0.0,0.0
2024-10-12,105.7162375,0.0,0.0
2024-10-13,110.3484647,0.0,0.0
2024-10-14,97.48248849,0.0,0.0
2024-10-15,94.77993509,0.0,0.0
2024-10-16,90.94631055,0.0,0.0
2024-10-17,97.3974354,0.0,0.0
2024-10-18,100.7507375,0.0,0.0
2024-10-19,106.3765985,0.0,0.0
2024-10-20,113.4095271,0.0,0.0
2024-10-21,96.76735273,0.0,0.0
2024-10-22,99.29199109,0.0,0.0
2024-10-23,98.98775005,0.0,0.0
2024-10-24,100.8582573,0.0,0.0
2024-10-25,104.7563787,0.0,0.0
2024-10-26,106.7304215,0.0,0.0
2024-10-27,113.6012033,0.0,0.0
2024-10-28,99.18323288,0.0,0.0
2024-10-29,98.96834233,0.0,0.0
2024-10-30,99.64545443,0.0,0.0
2024-11-01,48.28001216,0.0,0.0
2024-11-02,104.1566263,0.0,0.0
2024-11-03,108.8696449,0.0,0.0
2024-11-04,98.13425765,0.0,0.0
2024-11-05,95.43277046,0.0,0.0
2024-11-06,96.51613603,0.0,0.0
2024-11-07,94.56654242,0.0,0.0
2024-11-08,99.82023261,0.0,0.0
2024-11-09,103.4261066,0.0,0.0
2024-11-10,109.4711265,0.0,0.0
2024-11-11,99.77561133,0.0,0.0
2024-11-12,96.342882,0.0,0.0
2024-11-13,97.18094747,0.0,0.0
2024-11-14,96.54065578,0.0,0.0
2024-11-15,100.7630114,0.0,0.0
2024-11-16,103.6705556,0.0,0.0
2024-11-17,105.3952696,0.0,0.0
2024-11-18,95.2088234,0.0,0.0
2024-11-19,99.84953965,0.0,0.0
2024-11-20,93.31880337,0.0,0.0
2024-11-21,98.14525151,0.0,0.0
2024-11-22,100.2212259,0.0,0.0
2024-11-23,103.8556766,0.0,0.0
2024-11-24,109.5810603,0.0,0.0
2024-11-25,98.30947859,0.0,0.0
2024-11-26,99.08252948,0.0,0.0
2024-11-27,108.9025086,0.0,0.0
2024-11-28,99.85310991,0.0,0.0
2024-11-29,97.35348033,0.0,0.0
