Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,6.606853742,0.0,0.0
2024-10-02,6.622125833,0.0,0.0
2024-10-03,6.666709396,0.0,0.0
2024-10-04,6.630986654,0.0,0.0
2024-10-05,6.640383325,0.0,0.0
2024-10-06,7.15417197,0.0,0.0
2024-10-07,6.595207989,0.0,0.0
2024-10-08,6.56062457,0.0,0.0
2024-10-09,6.676131938,0.0,0.0
2024-10-10,7.057826669,0.0,0.0
2024-10-11,7.156674212,0.0,0.0
2024-10-12,6.811575272,0.0,0.0
2024-10-13,7.148886649,0.0,0.0
2024-10-14,6.695556403,0.0,0.0
2024-10-15,6.955767954,0.0,0.0
2024-10-16,6.605833809,0.0,0.0
2024-10-17,6.494018319,0.0,0.0
2024-10-18,6.561701857,0.0,0.0
2024-10-19,6.687414671,0.0,0.0
2024-10-20,6.95776173,0.0,0.0
2024-10-21,6.507319979,0.0,0.0
2024-10-22,6.405334811,0.0,0.0
2024-10-23,6.613169241,0.0,0.0
2024-10-24,6.817433539,0.0,0.0
2024-10-25,6.91524368,0.0,0.0
2024-10-26,6.87838833,0.0,0.0
2024-10-27,7.278315018,0.0,0.0
2024-10-28,6.779674613,0.0,0.0
2024-10-29,6.599448761,0.0,0.0
2024-10-30,5.554268198,0.0,0.0
2024-11-01,3.212900314,0.0,0.0
2024-11-02,6.589269181,0.0,0.0
2024-11-03,6.863443109,0.0,0.0
2024-11-04,6.638886861,0.0,0.0
2024-11-05,6.563434494,0.0,0.0
2024-11-06,6.837758052,0.0,0.0
2024-11-07,6.501501569,0.0,0.0
2024-11-08,6.934350653,0.0,0.0
2024-11-09,6.915212003,0.0,0.0
2024-11-10,7.270291044,0.0,0.0
2024-11-11,6.747521678,0.0,0.0
2024-11-12,6.454918243,0.0,0.0
2024-11-13,6.604851751,0.0,0.0
2024-11-14,6.249512515,0.0,0.0
2024-11-15,6.69011946,0.0,0.0
2024-11-16,6.797149522,0.0,0.0
2024-11-17,6.92903238,0.0,0.0
2024-11-18,6.466190379,0.0,0.0
2024-11-19,6.729511799,0.0,0.0
2024-11-20,6.723901511,0.0,0.0
2024-11-21,6.594203637,0.0,0.0
2024-11-22,6.521998402,0.0,0.0
2024-11-23,6.882115686,0.0,0.0
2024-11-24,6.984494792,0.0,0.0
2024-11-25,6.895697319,0.0,0.0
2024-11-26,6.976677423,0.0,0.0
2024-11-27,7.094112266,0.0,0.0
2024-11-28,7.160425062,0.0,0.0
2024-11-29,7.311861994,0.0,0.0
2024-11-30,7.438484794,0.0,0.0
2024-12-01,7.17484133,0.0,0.0
2024-12-02,6.547806935,0.0,0.0
2024-12-03,6.534055545,0.0,0.0
2024-12-04,6.940117231,0.0,0.0
2024-12-05,7.049807852,0.0,0.0
2024-12-06,6.956431089,0.0,0.0
2024-12-07,7.12035515,0.0,0.0
2024-12-08,7.162415349,0.0,0.0
2024-12-09,6.896941339,0.0,0.0
2024-12-10,7.023216894,0.0,0.0
2024-12-11,6.871971657,0.0,0.0
2024-12-12,6.665054451,0.0,0.0
2024-12-13,6.733999492,0.0,0.0
2024-12-14,6.894758604,0.0,0.0
2024-12-15,7.505284044,0.0,0.0
2024-12-16,6.645975025,0.0,0.0
2024-12-17,6.683724516,0.0,0.0
2024-12-18,6.814305814,0.0,0.0
2024-12-19,7.342240953,0.0,0.0
2024-12-20,6.928868613,0.0,0.0
2024-12-21,7.217532237,0.0,0.0
2024-12-22,7.217532237,0.0,0.0
2024-12-23,5.869503505,0.0,0.0
2024-12-24,7.086697689,0.0,0.0
2024-12-25,7.086697689,0.0,0.0
2024-12-26,7.627725143,0.0,0.0
2024-12-27,7.835156798,0.0,0.0
2024-12-28,7.954144432,0.0,0.0
2024-12-29,8.022551353,0.0,0.0
2024-12-30,7.623345076,0.0,0.0
2024-12-31,7.502637647,0.0,0.0
2025-01-01,7.48,0.0,0.0
2025-01-02,7.21,0.0,0.0
2025-01-03,7.73,0.0,0.0
2025-01-04,4.27,0.0,0.0
2025-01-05,6.09,0.0,0.0
2025-01-06,7.94,0.0,0.0
2025-01-07,7.47,0.0,0.0
2025-01-08,7.55,0.0,0.0
2025-01-09,7.34,0.0,0.0
2025-01-10,7.67,0.0,0.0
2025-01-11,7.25,0.0,0.0
2025-01-12,7.31,0.0,0.0
2025-01-13,7.23,0.0,0.0
2025-01-14,7.17,0.0,0.0
2025-01-15,8.04,0.0,0.0
2025-01-16,7.64,0.0,0.0
2025-01-17,7.14,0.0,0.0
2025-01-18,7.21,0.0,0.0
2025-01-19,7.71,0.0,0.0
2025-01-20,7.26,0.0,0.0
2025-01-21,7.37,0.0,0.0
2025-01-22,7.06,0.0,0.0
2025-01-23,5.61,0.0,0.0
2025-01-24,7.43,0.0,0.0
2025-01-25,7.2,0.0,0.0
2025-01-26,7.81,0.0,0.0
2025-01-27,7.84,0.0,0.0
2025-01-28,7.56,0.0,0.0
