Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,96.08296061,0.0,0.0
2024-10-02,95.36606553,0.0,0.0
2024-10-03,95.77109155,0.0,0.0
2024-10-04,98.81977841,0.0,0.0
2024-10-05,97.86213444,0.0,0.0
2024-10-06,99.9523191,0.0,0.0
2024-10-07,93.16961128,0.0,0.0
2024-10-08,93.80892875,0.0,0.0
2024-10-09,92.09713964,0.0,0.0
2024-10-10,97.22740785,0.0,0.0
2024-10-11,99.6518548,0.0,0.0
2024-10-12,95.62070374,0.0,0.0
2024-10-13,98.07129594,0.0,0.0
2024-10-14,94.02924527,0.0,0.0
2024-10-15,94.97697251,0.0,0.0
2024-10-16,93.25358777,0.0,0.0
2024-10-17,94.50124621,0.0,0.0
2024-10-18,97.28559999,0.0,0.0
2024-10-19,95.58598385,0.0,0.0
2024-10-20,98.07032056,0.0,0.0
2024-10-21,92.15433025,0.0,0.0
2024-10-22,95.37403124,0.0,0.0
2024-10-23,95.20277085,0.0,0.0
2024-10-24,98.02102721,0.0,0.0
2024-10-25,102.4775003,0.0,0.0
2024-10-26,95.70554832,0.0,0.0
2024-10-27,101.6656258,0.0,0.0
2024-10-28,93.59358668,0.0,0.0
2024-10-29,93.86773877,0.0,0.0
2024-10-30,94.15463307,0.0,0.0
2024-11-01,44.20086164,0.0,0.0
2024-11-02,91.78214538,0.0,0.0
2024-11-03,94.58330814,0.0,0.0
2024-11-04,90.54331734,0.0,0.0
2024-11-05,89.43616823,0.0,0.0
2024-11-06,90.22721383,0.0,0.0
2024-11-07,91.00651839,0.0,0.0
2024-11-08,94.21988232,0.0,0.0
2024-11-09,91.1608146,0.0,0.0
2024-11-10,89.04210286,0.0,0.0
2024-11-11,89.83017699,0.0,0.0
2024-11-12,88.84718387,0.0,0.0
2024-11-13,89.6522108,0.0,0.0
2024-11-14,90.5189011,0.0,0.0
2024-11-15,94.03806247,0.0,0.0
2024-11-16,89.43801967,0.0,0.0
2024-11-17,91.96573865,0.0,0.0
2024-11-18,89.79203585,0.0,0.0
2024-11-19,91.08897582,0.0,0.0
2024-11-20,89.70932761,0.0,0.0
2024-11-21,91.0850943,0.0,0.0
2024-11-22,95.10995329,0.0,0.0
2024-11-23,91.48037735,0.0,0.0
2024-11-24,90.32506516,0.0,0.0
2024-11-25,92.43746435,0.0,0.0
2024-11-26,96.72808799,0.0,0.0
2024-11-27,111.2125689,0.0,0.0
2024-11-28,102.067447,0.0,0.0
2024-11-29,98.25177882,0.0,0.0
2024-11-30,92.70001909,0.0,0.0
2024-12-01,90.32965576,0.0,0.0
2024-12-02,90.68862419,0.0,0.0
2024-12-03,88.74807588,0.0,0.0
2024-12-04,90.97761118,0.0,0.0
2024-12-05,93.78947943,0.0,0.0
2024-12-06,99.9062612,0.0,0.0
2024-12-07,90.25205295,0.0,0.0
2024-12-08,92.7719183,0.0,0.0
2024-12-09,87.92539844,0.0,0.0
2024-12-10,89.49414336,0.0,0.0
2024-12-11,90.08151994,0.0,0.0
2024-12-12,94.65862941,0.0,0.0
2024-12-13,91.39441495,0.0,0.0
2024-12-14,92.5032519,0.0,0.0
2024-12-15,89.15049845,0.0,0.0
2024-12-16,90.43765619,0.0,0.0
2024-12-17,86.63144661,0.0,0.0
2024-12-18,88.04733615,0.0,0.0
2024-12-19,87.51191874,0.0,0.0
2024-12-20,89.25924783,0.0,0.0
2024-12-21,85.76587484,0.0,0.0
2024-12-22,85.76587484,0.0,0.0
2024-12-23,81.38942592,0.0,0.0
2024-12-24,85.46532523,0.0,0.0
2024-12-25,85.46532523,0.0,0.0
2024-12-26,88.73934333,0.0,0.0
2024-12-27,88.73349196,0.0,0.0
2024-12-28,87.69064355,0.0,0.0
2024-12-29,88.38011027,0.0,0.0
2024-12-30,83.83990146,0.0,0.0
2024-12-31,86.45962869,0.0,0.0
2025-01-01,92.83,0.0,0.0
2025-01-02,83.63,0.0,0.0
2025-01-03,82.67,0.0,0.0
2025-01-04,81.34,0.0,0.0
2025-01-05,80.36,0.0,0.0
2025-01-06,77.98,0.0,0.0
2025-01-07,77.71,0.0,0.0
2025-01-08,78.15,0.0,0.0
2025-01-09,76.85,0.0,0.0
2025-01-10,80.57,0.0,0.0
2025-01-11,78.44,0.0,0.0
2025-01-12,78.52,0.0,0.0
2025-01-13,74.49,0.0,0.0
2025-01-14,75.21,0.0,0.0
2025-01-15,74.09,0.0,0.0
2025-01-16,76.71,0.0,0.0
2025-01-17,76.41,0.0,0.0
2025-01-18,74.2,0.0,0.0
2025-01-19,74.51,0.0,0.0
2025-01-20,72.33,0.0,0.0
2025-01-21,74.29,0.0,0.0
2025-01-22,72.92,0.0,0.0
2025-01-23,72.7,0.0,0.0
2025-01-24,75.29,0.0,0.0
2025-01-25,72.66,0.0,0.0
2025-01-26,77.19,0.0,0.0
2025-01-27,80.07,0.0,0.0
2025-01-28,74.09,0.0,0.0
2025-01-29,72.83,0.0,0.0
2025-01-30,66.12,0.0,0.0
2025-01-31,72.82,0.0,0.0
2025-02-01,73.29,0.0,0.0
2025-02-02,75.44,0.0,0.0
2025-02-03,70.11,0.0,0.0
2025-02-04,71.65,0.0,0.0
2025-02-05,71.54,0.0,0.0
2025-02-06,72.43,0.0,0.0
2025-02-07,74.47,0.0,0.0
2025-02-08,72.49,0.0,0.0
2025-02-09,75.63,0.0,0.0
2025-02-10,74.68,0.0,0.0
2025-02-11,73.6,0.0,0.0
2025-02-12,75.72,0.0,0.0
2025-02-13,76.41,0.0,0.0
2025-02-14,78.75,0.0,0.0
2025-02-15,79.44,0.0,0.0
2025-02-16,82.43,0.0,0.0
2025-02-17,80.37,0.0,0.0
2025-02-18,81.83,0.0,0.0
2025-02-19,82.43,0.0,0.0
2025-02-20,87.4,0.0,0.0
2025-02-21,89.57,0.0,0.0
2025-02-22,88.99,0.0,0.0
2025-02-23,92.96,0.0,0.0
2025-02-24,90.18,0.0,0.0
2025-02-25,86.49,0.0,0.0
2025-02-26,88.66,0.0,0.0
2025-02-27,87.15,0.0,0.0
2025-02-28,86.12,0.0,0.0
2025-03-01,84.96,0.0,0.0
2025-03-02,90.21,0.0,0.0
2025-03-03,88.21,0.0,0.0
2025-03-04,85.06,0.0,0.0
2025-03-05,89.59,0.0,0.0
2025-03-06,88.77,0.0,0.0
2025-03-07,90.93,0.0,0.0
2025-03-08,92.14,0.0,0.0
2025-03-09,91.33,0.0,0.0
2025-03-10,90.49,0.0,0.0
2025-03-11,88.83,0.0,0.0
2025-03-12,90.88,0.0,0.0
2025-03-13,91.64,0.0,0.0
2025-03-14,94.59,0.0,0.0
2025-03-15,94.28,0.0,0.0
2025-03-16,95.4,0.0,0.0
2025-03-17,96.35,0.0,0.0
2025-03-18,95.86,0.0,0.0
2025-03-19,97.54,0.0,0.0
2025-03-20,99.36,0.0,0.0
2025-03-21,99.83,0.0,0.0
2025-03-22,102.08,0.0,0.0
2025-03-23,103.52,0.0,0.0
2025-03-24,103.69,0.0,0.0
2025-03-25,101.85,0.0,0.0
2025-03-26,109.29,0.0,0.0
2025-03-27,113.5,0.0,0.0
2025-03-28,120.93,0.0,0.0
2025-03-29,125.5,0.0,0.0
2025-03-30,139.47,0.0,0.0
2025-03-31,147.38,0.0,0.0
2025-04-01,146.37,0.0,0.0
2025-04-02,146.68,0.0,0.0
2025-04-03,141.2273505,0.0,0.0
2025-04-04,139.2238784,0.0,0.0
2025-04-05,133.97646,0.0,0.0
2025-04-06,131.7260457,0.0,0.0
2025-04-07,130.2598643,0.0,0.0
2025-04-08,124.5602674,0.0,0.0
2025-04-09,121.0021118,0.0,0.0
2025-04-10,118.2408666,0.0,0.0
2025-04-11,114.8661779,0.0,0.0
2025-04-12,114.2110467,0.0,0.0
2025-04-13,113.7149125,0.0,0.0
2025-04-14,103.0903289,0.0,0.0
2025-04-15,97.35771013,0.0,0.0
2025-04-16,97.43498439,0.0,0.0
2025-04-17,97.12811406,0.0,0.0
2025-04-18,99.37273267,0.0,0.0
2025-04-19,94.26280904,0.0,0.0
2025-04-20,92.78612288,0.0,0.0
2025-04-21,89.08184464,0.0,0.0
2025-04-22,88.51262954,0.0,0.0
