Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,249.4056754,0.0,0.0
2024-10-02,250.4904819,0.0,0.0
2024-10-03,215.067927,0.0,0.0
2024-10-04,212.2641471,0.0,0.0
2024-10-05,267.5329998,0.0,0.0
2024-10-06,279.408297,0.0,0.0
2024-10-07,242.840576,0.0,0.0
2024-10-08,245.9988653,0.0,0.0
2024-10-09,249.7120235,0.0,0.0
2024-10-10,256.7334301,0.0,0.0
2024-10-11,260.1269779,0.0,0.0
2024-10-12,268.8750081,0.0,0.0
2024-10-13,281.7218957,0.0,0.0
2024-10-14,248.2153737,0.0,0.0
2024-10-15,235.1808973,0.0,0.0
2024-10-16,229.4143856,0.0,0.0
2024-10-17,244.8379788,0.0,0.0
2024-10-18,255.4732781,0.0,0.0
2024-10-19,270.5389447,0.0,0.0
2024-10-20,283.3291429,0.0,0.0
2024-10-21,245.8129898,0.0,0.0
2024-10-22,246.9896753,0.0,0.0
2024-10-23,252.8443377,0.0,0.0
2024-10-24,259.0281755,0.0,0.0
2024-10-25,263.9425725,0.0,0.0
2024-10-26,270.5333531,0.0,0.0
2024-10-27,292.0042667,0.0,0.0
2024-10-28,249.2007102,0.0,0.0
2024-10-29,249.2532166,0.0,0.0
2024-10-30,249.8185884,0.0,0.0
2024-11-01,124.5592544,0.0,0.0
2024-11-02,265.5408396,0.0,0.0
2024-11-03,278.6411033,0.0,0.0
2024-11-04,242.4235836,0.0,0.0
2024-11-05,239.2505764,0.0,0.0
2024-11-06,240.9581058,0.0,0.0
2024-11-07,243.6441785,0.0,0.0
2024-11-08,251.5085169,0.0,0.0
2024-11-09,268.2139219,0.0,0.0
2024-11-10,277.781828,0.0,0.0
2024-11-11,249.3885824,0.0,0.0
2024-11-12,242.509002,0.0,0.0
2024-11-13,245.600057,0.0,0.0
2024-11-14,245.2439019,0.0,0.0
2024-11-15,250.9429639,0.0,0.0
2024-11-16,259.5350331,0.0,0.0
2024-11-17,271.0042257,0.0,0.0
2024-11-18,241.7115908,0.0,0.0
2024-11-19,247.4401343,0.0,0.0
2024-11-20,240.8932361,0.0,0.0
2024-11-21,243.6876689,0.0,0.0
2024-11-22,252.4763981,0.0,0.0
2024-11-23,264.176983,0.0,0.0
2024-11-24,276.4591217,0.0,0.0
2024-11-25,247.4403244,0.0,0.0
2024-11-26,248.4920124,0.0,0.0
2024-11-27,272.3368007,0.0,0.0
2024-11-28,244.8387113,0.0,0.0
2024-11-29,245.921607,0.0,0.0
2024-11-30,267.3690018,0.0,0.0
2024-12-01,267.9280442,0.0,0.0
2024-12-02,238.1015084,0.0,0.0
2024-12-03,239.5571652,0.0,0.0
2024-12-04,247.4017048,0.0,0.0
2024-12-05,255.0733318,0.0,0.0
2024-12-06,254.6865761,0.0,0.0
2024-12-07,267.3565742,0.0,0.0
2024-12-08,281.8929821,0.0,0.0
2024-12-09,249.2341855,0.0,0.0
2024-12-10,256.7160256,0.0,0.0
2024-12-11,252.1643117,0.0,0.0
2024-12-12,263.4016145,0.0,0.0
2024-12-13,254.9546981,0.0,0.0
2024-12-14,271.6859598,0.0,0.0
2024-12-15,282.4046821,0.0,0.0
2024-12-16,251.9881674,0.0,0.0
2024-12-17,255.4453949,0.0,0.0
2024-12-18,251.7654685,0.0,0.0
2024-12-19,255.0271097,0.0,0.0
2024-12-20,259.2574264,0.0,0.0
2024-12-21,269.7376944,0.0,0.0
2024-12-22,269.7376944,0.0,0.0
2024-12-23,257.3226636,0.0,0.0
2024-12-24,261.480299,0.0,0.0
2024-12-25,261.480299,0.0,0.0
2024-12-26,263.917913,0.0,0.0
2024-12-27,262.0986046,0.0,0.0
2024-12-28,271.632875,0.0,0.0
2024-12-29,276.4822146,0.0,0.0
2024-12-30,264.6007213,0.0,0.0
2024-12-31,262.245422,0.0,0.0
2025-01-01,284.72,0.0,0.0
2025-01-02,246.97,0.0,0.0
2025-01-03,245.79,0.0,0.0
2025-01-04,251.49,0.0,0.0
2025-01-05,267.89,0.0,0.0
2025-01-06,233.8,0.0,0.0
2025-01-07,228.8,0.0,0.0
2025-01-08,229.99,0.0,0.0
2025-01-09,228.4,0.0,0.0
2025-01-10,240.6,0.0,0.0
2025-01-11,245.64,0.0,0.0
2025-01-12,263.47,0.0,0.0
2025-01-13,224.23,0.0,0.0
2025-01-14,229.82,0.0,0.0
2025-01-15,226.47,0.0,0.0
2025-01-16,227.84,0.0,0.0
2025-01-17,235.64,0.0,0.0
2025-01-18,242.78,0.0,0.0
2025-01-19,263.14,0.0,0.0
2025-01-20,222.96,0.0,0.0
2025-01-21,224.8,0.0,0.0
2025-01-22,224.28,0.0,0.0
2025-01-23,226.67,0.0,0.0
2025-01-24,233.36,0.0,0.0
2025-01-25,238.81,0.0,0.0
2025-01-26,261.53,0.0,0.0
2025-01-27,260.85,0.0,0.0
2025-01-28,244.52,0.0,0.0
2025-01-29,253.77,0.0,0.0
2025-01-30,222.11,0.0,0.0
2025-01-31,227.73,0.0,0.0
2025-02-01,239.74,0.0,0.0
2025-02-02,260.6,0.0,0.0
2025-02-03,221.12,0.0,0.0
2025-02-04,220.78,0.0,0.0
2025-02-05,220.93,0.0,0.0
2025-02-06,223.8,0.0,0.0
2025-02-07,234.01,0.0,0.0
2025-02-08,241.09,0.0,0.0
2025-02-09,253.27,0.0,0.0
2025-02-10,222.56,0.0,0.0
2025-02-11,222.76,0.0,0.0
2025-02-12,224.47,0.0,0.0
2025-02-13,227.25,0.0,0.0
2025-02-14,234.35,0.0,0.0
2025-02-15,241.12,0.0,0.0
2025-02-16,256.28,0.0,0.0
2025-02-17,222.86,0.0,0.0
2025-02-18,223.04,0.0,0.0
2025-02-19,224.05,0.0,0.0
2025-02-20,227.86,0.0,0.0
2025-02-21,236.47,0.0,0.0
2025-02-22,251.96,0.0,0.0
2025-02-23,258.93,0.0,0.0
2025-02-24,229.87,0.0,0.0
2025-02-25,229.9,0.0,0.0
2025-02-26,236.65,0.0,0.0
2025-02-27,243.37,0.0,0.0
2025-02-28,240.84,0.0,0.0
2025-03-01,244.86,0.0,0.0
2025-03-02,263.92,0.0,0.0
2025-03-03,242.23,0.0,0.0
2025-03-04,235.02,0.0,0.0
2025-03-05,244.9,0.0,0.0
2025-03-06,240.93,0.0,0.0
2025-03-07,241.62,0.0,0.0
2025-03-08,261.41,0.0,0.0
2025-03-09,263.63,0.0,0.0
2025-03-10,238.52,0.0,0.0
2025-03-11,236.67,0.0,0.0
2025-03-12,241.54,0.0,0.0
2025-03-13,239.19,0.0,0.0
2025-03-14,245.5,0.0,0.0
2025-03-15,258.34,0.0,0.0
2025-03-16,267.72,0.0,0.0
2025-03-17,245.57,0.0,0.0
2025-03-18,244.1,0.0,0.0
2025-03-19,249.46,0.0,0.0
2025-03-20,250.45,0.0,0.0
2025-03-21,255.54,0.0,0.0
2025-03-22,266.79,0.0,0.0
2025-03-23,275.49,0.0,0.0
2025-03-24,260.16,0.0,0.0
2025-03-25,247.92,0.0,0.0
2025-03-26,265.13,0.0,0.0
2025-03-27,270.0,0.0,0.0
2025-03-28,287.31,0.0,0.0
2025-03-29,279.0,0.0,0.0
2025-03-30,291.45,0.0,0.0
2025-03-31,297.57,0.0,0.0
2025-04-01,284.61,0.0,0.0
2025-04-02,304.12,0.0,0.0
2025-04-03,308.5958746,0.0,0.0
2025-04-04,301.0551409,0.0,0.0
2025-04-05,297.6494071,0.0,0.0
2025-04-06,293.3435719,0.0,0.0
2025-04-07,274.9659605,0.0,0.0
2025-04-08,269.9833495,0.0,0.0
2025-04-09,259.9377011,0.0,0.0
2025-04-10,262.288519,0.0,0.0
2025-04-11,261.316567,0.0,0.0
2025-04-12,265.2459831,0.0,0.0
2025-04-13,277.916061,0.0,0.0
2025-04-14,244.4367751,0.0,0.0
2025-04-15,240.5337366,0.0,0.0
2025-04-16,240.2669555,0.0,0.0
2025-04-17,245.0092631,0.0,0.0
2025-04-18,274.3340723,0.0,0.0
2025-04-19,261.5547184,0.0,0.0
2025-04-20,271.2784274,0.0,0.0
2025-04-21,245.6745308,0.0,0.0
2025-04-22,242.956512,0.0,0.0
2025-04-23,243.7365777,0.0,0.0
2025-04-24,244.1888143,0.0,0.0
2025-04-25,250.9073403,0.0,0.0
2025-04-26,260.4310824,0.0,0.0
2025-04-27,273.9127342,0.0,0.0
2025-04-28,238.7020787,0.0,0.0
2025-04-29,242.0516286,0.0,0.0
2025-04-30,245.493674,0.0,0.0
2025-05-01,267.1901226,0.0,0.0
2025-05-02,227.6672968,0.0,0.0
2025-05-03,262.934413,0.0,0.0
2025-05-04,273.5222266,0.0,0.0
2025-05-05,245.0363628,0.0,0.0
2025-05-06,244.5465479,0.0,0.0
2025-05-07,250.6397723,0.0,0.0
2025-05-08,247.3376031,0.0,0.0
2025-05-09,254.332083,0.0,0.0
2025-05-10,264.2277798,0.0,0.0
2025-05-11,284.704167,0.0,0.0
2025-05-12,272.7088641,0.0,0.0
2025-05-13,262.0045123,0.0,0.0
2025-05-14,246.6390116,0.0,0.0
2025-05-15,244.6847628,0.0,0.0
2025-05-16,252.2512679,0.0,0.0
2025-05-17,264.4526249,0.0,0.0
2025-05-18,277.2782781,0.0,0.0
2025-05-19,244.829556,0.0,0.0
2025-05-20,241.0070158,0.0,0.0
2025-05-21,247.0638486,0.0,0.0
2025-05-22,253.0979512,0.0,0.0
2025-05-23,250.616494,0.0,0.0
2025-05-24,265.2693701,0.0,0.0
2025-05-25,275.7505176,0.0,0.0
2025-05-26,247.4118643,0.0,0.0
2025-05-27,243.3429172,0.0,0.0
2025-05-28,248.11306,0.0,0.0
2025-05-29,272.8298036,0.0,0.0
2025-05-30,262.7566803,0.0,0.0
2025-05-31,271.6306709,0.0,0.0
2025-06-01,269.7374142,0.0,0.0
2025-06-02,241.5077687,0.0,0.0
2025-06-03,246.5085459,0.0,0.0
2025-06-04,247.3377708,0.0,0.0
2025-06-05,262.7830722,0.0,0.0
2025-06-06,275.0833622,0.0,0.0
2025-06-07,262.9107364,0.0,0.0
2025-06-08,274.3308065,0.0,0.0
2025-06-09,256.5034541,0.0,0.0
2025-06-10,250.4805372,0.0,0.0
2025-06-11,253.6320391,0.0,0.0
2025-06-12,258.2230338,0.0,0.0
2025-06-13,257.0394999,0.0,0.0
2025-06-14,273.2930313,0.0,0.0
2025-06-15,281.5991396,0.0,0.0
2025-06-16,251.9975431,0.0,0.0
2025-06-17,255.8717365,0.0,0.0
2025-06-18,250.2536904,0.0,0.0
2025-06-19,252.4600654,0.0,0.0
2025-06-20,254.3044959,0.0,0.0
2025-06-21,268.2706861,0.0,0.0
2025-06-22,281.5161256,0.0,0.0
2025-06-23,259.4828709,0.0,0.0
2025-06-24,261.491313,0.0,0.0
2025-06-25,261.6112697,0.0,0.0
2025-06-26,263.5887515,0.0,0.0
2025-06-27,287.0513634,0.0,0.0
2025-06-28,276.2103304,0.0,0.0
2025-06-29,281.9446605,0.0,0.0
2025-06-30,260.4142955,0.0,0.0
2025-07-01,263.0484248,0.0,0.0
2025-07-02,263.1358378,0.0,0.0
2025-07-03,262.7657221,0.0,0.0
2025-07-04,260.9039359,0.0,0.0
2025-07-05,263.2450252,0.0,0.0
2025-07-06,279.042155,0.0,0.0
2025-07-07,261.7854835,0.0,0.0
2025-07-08,257.8430601,0.0,0.0
2025-07-09,255.2017313,0.0,0.0
2025-07-10,255.696219,0.0,0.0
2025-07-11,255.6113205,0.0,0.0
2025-07-12,262.3716561,0.0,0.0
2025-07-13,269.8268413,0.0,0.0
2025-07-14,243.0029817,0.0,0.0
2025-07-15,245.2705377,0.0,0.0
2025-07-16,244.6828543,0.0,0.0
2025-07-17,245.994175,0.0,0.0
2025-07-18,251.429099,0.0,0.0
2025-07-19,261.0557779,0.0,0.0
2025-07-20,269.5225501,0.0,0.0
2025-07-21,240.6606354,0.0,0.0
2025-07-22,240.1152954,0.0,0.0
2025-07-23,245.1975324,0.0,0.0
2025-07-24,244.098525,0.0,0.0
2025-07-25,248.8649003,0.0,0.0
2025-07-26,261.1100687,0.0,0.0
2025-07-27,272.9019378,0.0,0.0
2025-07-28,238.4672512,0.0,0.0
2025-07-29,241.9314268,0.0,0.0
2025-07-30,239.0926709,0.0,0.0
2025-07-31,239.6459899,0.0,0.0
2025-08-01,249.3352541,0.0,0.0
2025-08-02,261.1294214,0.0,0.0
2025-08-03,273.5644201,0.0,0.0
2025-08-04,242.3915281,0.0,0.0
2025-08-05,242.3332431,0.0,0.0
2025-08-06,243.7217572,0.0,0.0
2025-08-07,246.9642307,0.0,0.0
2025-08-08,256.7289843,0.0,0.0
2025-08-09,271.5207822,0.0,0.0
2025-08-10,289.1576139,0.0,0.0
2025-08-11,247.2148381,0.0,0.0
2025-08-12,250.3212131,0.0,0.0
2025-08-13,251.0858701,0.0,0.0
2025-08-14,250.8139031,0.0,0.0
2025-08-15,253.3177193,0.0,0.0
2025-08-16,280.6800548,0.0,0.0
2025-08-17,297.3996126,0.0,0.0
2025-08-18,276.9692483,0.0,0.0
2025-08-19,255.4794291,0.0,0.0
2025-08-20,248.815912,0.0,0.0
2025-08-21,251.30245,0.0,0.0
2025-08-22,259.5448396,0.0,0.0
2025-08-23,278.3197554,0.0,0.0
2025-08-24,294.8011595,0.0,0.0
2025-08-25,251.7564589,0.0,0.0
2025-08-26,249.3568042,0.0,0.0
2025-08-27,249.64793,0.0,0.0
2025-08-28,240.4222608,0.0,0.0
2025-08-29,272.3218466,0.0,0.0
2025-08-30,297.331784,0.0,0.0
2025-08-31,295.4881327,0.0,0.0
2025-09-01,257.2716851,0.0,0.0
2025-09-02,240.5423436,0.0,0.0
2025-09-03,256.0916934,0.0,0.0
2025-09-04,259.3384521,0.0,0.0
2025-09-05,288.5170595,0.0,0.0
2025-09-06,278.168427,0.0,0.0
2025-09-07,287.2169637,0.0,0.0
2025-09-08,254.7848836,0.0,0.0
2025-09-09,260.4838932,0.0,0.0
2025-09-10,259.261468,0.0,0.0
2025-09-11,259.3288522,0.0,0.0
2025-09-12,265.8956486,0.0,0.0
2025-09-13,279.0405286,0.0,0.0
2025-09-14,292.4821004,0.0,0.0
2025-09-15,253.390983,0.0,0.0
2025-09-16,257.3176975,0.0,0.0
2025-09-17,261.2526615,0.0,0.0
2025-09-18,259.1805769,0.0,0.0
2025-09-19,268.0597717,0.0,0.0
2025-09-20,286.5831724,0.0,0.0
2025-09-21,362.4508621,0.0,0.0
2025-09-22,262.184243,0.0,0.0
2025-09-23,262.208543,0.0,0.0
2025-09-24,267.8750606,0.0,0.0
2025-09-25,268.5136929,0.0,0.0
2025-09-26,270.4119946,0.0,0.0
2025-09-27,291.8450782,0.0,0.0
2025-09-28,299.0683238,0.0,0.0
2025-09-29,264.939103,0.0,0.0
2025-09-30,266.2869157,0.0,0.0
2025-10-01,262.3426406,0.0,0.0
2025-10-02,263.8956017,0.0,0.0
2025-10-03,270.4002436,0.0,0.0
2025-10-04,284.7210704,0.0,0.0
2025-10-05,301.644094,0.0,0.0
2025-10-06,262.2821836,0.0,0.0
2025-10-07,259.9501913,0.0,0.0
2025-10-08,261.9865822,0.0,0.0
2025-10-09,301.3180192,0.0,0.0
2025-10-10,278.1074067,0.0,0.0
2025-10-11,287.8217755,0.0,0.0
2025-10-12,309.9838342,0.0,0.0
2025-10-13,263.425782,0.0,0.0
2025-10-14,262.7660295,0.0,0.0
2025-10-15,264.0081896,0.0,0.0
2025-10-16,263.1570082,0.0,0.0
2025-10-17,267.590852,0.0,0.0
2025-10-18,283.6620676,0.0,0.0
2025-10-19,299.9211148,0.0,0.0
2025-10-20,263.1814031,0.0,0.0
2025-10-21,265.4362956,0.0,0.0
2025-10-22,263.3802253,0.0,0.0
2025-10-23,264.69233102903627,238.22309792613265,291.16156413193994
2025-10-24,273.74801831207407,246.37321648086663,301.1228201432815
2025-10-25,284.8121033736226,256.3308930362604,313.29331371098493
2025-10-26,281.4593853867105,253.3134468480395,309.60532392538164
2025-10-27,262.77416175946666,236.49674558352,289.0515779354134
2025-10-28,276.4756884842081,248.8281196357873,304.1232573326289
2025-10-29,273.1983525625585,245.87851730630263,300.5181878188144
2025-10-30,268.9966083406588,242.0969475065929,295.8962691747247
2025-10-31,289.4630642371696,260.5167578134526,318.40937066088657
2025-11-01,285.21104575460134,256.6899411791412,313.7321503300616
2025-11-02,276.7748664010065,249.09737976090585,304.4523530411072
2025-11-03,261.78377634844,235.605398713596,287.962153983284
2025-11-04,271.2544226386054,244.12898037474488,298.37986490246595
2025-11-05,268.5483047003361,241.69347423030248,295.4031351703697
2025-11-06,266.8871240743168,240.1984116668851,293.57583648174847
2025-11-07,274.31322199127135,246.88189979214425,301.7445441903985
2025-11-08,281.5571054537371,253.4013949083634,309.71281599911083
2025-11-09,273.86083034886,246.474747313974,301.246913383746
