Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,10.1540521,0.0,0.0
2024-10-02,10.19154932,0.0,0.0
2024-10-03,10.17320907,0.0,0.0
2024-10-04,10.05903979,0.0,0.0
2024-10-05,10.20933126,0.0,0.0
2024-10-06,10.44053117,0.0,0.0
2024-10-07,9.032006056,0.0,0.0
2024-10-08,10.00467736,0.0,0.0
2024-10-09,10.5716176,0.0,0.0
2024-10-10,11.04387474,0.0,0.0
2024-10-11,11.12896127,0.0,0.0
2024-10-12,10.74876331,0.0,0.0
2024-10-13,10.66022749,0.0,0.0
2024-10-14,10.64687024,0.0,0.0
2024-10-15,11.25080029,0.0,0.0
2024-10-16,10.86997715,0.0,0.0
2024-10-17,11.10569974,0.0,0.0
2024-10-18,11.02306369,0.0,0.0
2024-10-19,11.22511078,0.0,0.0
2024-10-20,11.51841364,0.0,0.0
2024-10-21,10.65718455,0.0,0.0
2024-10-22,10.75225464,0.0,0.0
2024-10-23,10.93901602,0.0,0.0
2024-10-24,11.3026959,0.0,0.0
2024-10-25,11.25439818,0.0,0.0
2024-10-26,11.56601817,0.0,0.0
2024-10-27,11.80986015,0.0,0.0
2024-10-28,11.21428492,0.0,0.0
2024-10-29,11.22197462,0.0,0.0
2024-10-30,11.50050711,0.0,0.0
2024-11-01,5.279633141,0.0,0.0
2024-11-02,10.85294823,0.0,0.0
2024-11-03,11.46350571,0.0,0.0
2024-11-04,10.80423634,0.0,0.0
2024-11-05,11.02962839,0.0,0.0
2024-11-06,11.26922117,0.0,0.0
2024-11-07,11.33792145,0.0,0.0
2024-11-08,11.45470149,0.0,0.0
2024-11-09,10.02145251,0.0,0.0
2024-11-10,12.2638297,0.0,0.0
2024-11-11,11.27164048,0.0,0.0
2024-11-12,11.53242785,0.0,0.0
2024-11-13,11.50971683,0.0,0.0
2024-11-14,11.55410195,0.0,0.0
2024-11-15,11.44597412,0.0,0.0
2024-11-16,11.39032712,0.0,0.0
2024-11-17,11.82166577,0.0,0.0
2024-11-18,11.06244341,0.0,0.0
2024-11-19,11.60548355,0.0,0.0
2024-11-20,11.14656337,0.0,0.0
2024-11-21,11.45352524,0.0,0.0
2024-11-22,12.40321659,0.0,0.0
2024-11-23,12.22216156,0.0,0.0
2024-11-24,12.11754861,0.0,0.0
2024-11-25,11.51613626,0.0,0.0
2024-11-26,11.72006016,0.0,0.0
2024-11-27,12.73968022,0.0,0.0
2024-11-28,12.55072016,0.0,0.0
2024-11-29,12.02350326,0.0,0.0
2024-11-30,12.14974276,0.0,0.0
2024-12-01,12.56891364,0.0,0.0
2024-12-02,11.11750153,0.0,0.0
2024-12-03,10.41354428,0.0,0.0
2024-12-04,12.70280266,0.0,0.0
2024-12-05,12.58379512,0.0,0.0
2024-12-06,12.53545003,0.0,0.0
2024-12-07,12.85812603,0.0,0.0
2024-12-08,13.09650092,0.0,0.0
2024-12-09,13.06533326,0.0,0.0
2024-12-10,12.8941727,0.0,0.0
2024-12-11,12.68382346,0.0,0.0
2024-12-12,12.10261147,0.0,0.0
2024-12-13,12.42846319,0.0,0.0
2024-12-14,12.56339855,0.0,0.0
2024-12-15,12.21306455,0.0,0.0
2024-12-16,12.2791301,0.0,0.0
2024-12-17,12.30297077,0.0,0.0
2024-12-18,12.66981264,0.0,0.0
2024-12-19,12.93506451,0.0,0.0
2024-12-20,12.50392552,0.0,0.0
2024-12-21,12.91239376,0.0,0.0
2024-12-22,12.91239376,0.0,0.0
2024-12-23,12.68206396,0.0,0.0
2024-12-24,12.0997135,0.0,0.0
2024-12-25,12.0997135,0.0,0.0
2024-12-26,13.18801094,0.0,0.0
2024-12-27,13.2987348,0.0,0.0
2024-12-28,13.26324517,0.0,0.0
2024-12-29,13.21694215,0.0,0.0
2024-12-30,12.8406714,0.0,0.0
2024-12-31,13.17880936,0.0,0.0
2025-01-01,13.35,0.0,0.0
2025-01-02,12.68,0.0,0.0
2025-01-03,11.7,0.0,0.0
2025-01-04,12.94,0.0,0.0
2025-01-05,12.96,0.0,0.0
2025-01-06,12.44,0.0,0.0
2025-01-07,11.66,0.0,0.0
2025-01-08,12.15,0.0,0.0
2025-01-09,12.54,0.0,0.0
2025-01-10,13.32,0.0,0.0
2025-01-11,13.66,0.0,0.0
2025-01-12,12.74,0.0,0.0
2025-01-13,12.29,0.0,0.0
2025-01-14,12.39,0.0,0.0
2025-01-15,12.61,0.0,0.0
2025-01-16,11.96,0.0,0.0
2025-01-17,12.16,0.0,0.0
2025-01-18,9.71,0.0,0.0
2025-01-19,12.75,0.0,0.0
2025-01-20,12.3,0.0,0.0
2025-01-21,12.24,0.0,0.0
2025-01-22,11.92,0.0,0.0
2025-01-23,12.4,0.0,0.0
2025-01-24,12.31,0.0,0.0
2025-01-25,12.62,0.0,0.0
2025-01-26,12.08,0.0,0.0
2025-01-27,10.86,0.0,0.0
2025-01-28,11.94,0.0,0.0
2025-01-29,12.46,0.0,0.0
2025-01-30,12.63,0.0,0.0
2025-01-31,9.65,0.0,0.0
2025-02-01,11.98,0.0,0.0
2025-02-02,11.35,0.0,0.0
2025-02-03,11.8,0.0,0.0
2025-02-04,11.81,0.0,0.0
