Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,8.061575091,0.0,0.0
2024-10-02,8.512450584,0.0,0.0
2024-10-03,8.31655707,0.0,0.0
2024-10-04,8.18313218,0.0,0.0
2024-10-05,8.338748192,0.0,0.0
2024-10-06,8.51055603,0.0,0.0
2024-10-07,7.927212952,0.0,0.0
2024-10-08,8.34688424,0.0,0.0
2024-10-09,8.369894169,0.0,0.0
2024-10-10,8.715839706,0.0,0.0
2024-10-11,8.289314068,0.0,0.0
2024-10-12,8.647312495,0.0,0.0
2024-10-13,8.85741633,0.0,0.0
2024-10-14,8.612436919,0.0,0.0
2024-10-15,8.843822396,0.0,0.0
2024-10-16,8.320391723,0.0,0.0
2024-10-17,8.490401064,0.0,0.0
2024-10-18,8.433935306,0.0,0.0
2024-10-19,8.676593347,0.0,0.0
2024-10-20,8.914093949,0.0,0.0
2024-10-21,8.56354751,0.0,0.0
2024-10-22,8.414063829,0.0,0.0
2024-10-23,8.27628648,0.0,0.0
2024-10-24,8.937901172,0.0,0.0
2024-10-25,8.858438602,0.0,0.0
2024-10-26,9.09528943,0.0,0.0
2024-10-27,9.773653666,0.0,0.0
2024-10-28,8.895526899,0.0,0.0
2024-10-29,8.84882432,0.0,0.0
2024-10-30,9.107819189,0.0,0.0
2024-11-01,4.471487312,0.0,0.0
2024-11-02,8.863323374,0.0,0.0
2024-11-03,8.974914769,0.0,0.0
2024-11-04,8.907067225,0.0,0.0
2024-11-05,8.837749939,0.0,0.0
2024-11-06,8.971135356,0.0,0.0
2024-11-07,8.936713874,0.0,0.0
2024-11-08,8.828310934,0.0,0.0
2024-11-09,9.122400995,0.0,0.0
2024-11-10,8.956201166,0.0,0.0
2024-11-11,8.545250023,0.0,0.0
2024-11-12,8.72907696,0.0,0.0
2024-11-13,8.276850193,0.0,0.0
2024-11-14,8.729830011,0.0,0.0
2024-11-15,8.806680541,0.0,0.0
2024-11-16,8.595685187,0.0,0.0
2024-11-17,8.914314911,0.0,0.0
2024-11-18,8.46275844,0.0,0.0
2024-11-19,9.136365965,0.0,0.0
2024-11-20,8.35794297,0.0,0.0
2024-11-21,8.635898849,0.0,0.0
2024-11-22,8.707092129,0.0,0.0
2024-11-23,8.845476289,0.0,0.0
2024-11-24,8.854544651,0.0,0.0
2024-11-25,8.452109765,0.0,0.0
2024-11-26,8.582085641,0.0,0.0
2024-11-27,8.663723004,0.0,0.0
2024-11-28,9.11513535,0.0,0.0
2024-11-29,9.039078451,0.0,0.0
