Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,107.2601613,0.0,0.0
2024-10-02,106.8443976,0.0,0.0
2024-10-03,105.575385,0.0,0.0
2024-10-04,107.0767343,0.0,0.0
2024-10-05,109.7610288,0.0,0.0
2024-10-06,114.6106223,0.0,0.0
2024-10-07,105.5528627,0.0,0.0
2024-10-08,106.9304258,0.0,0.0
2024-10-09,107.6669211,0.0,0.0
2024-10-10,111.5711859,0.0,0.0
2024-10-11,112.5952294,0.0,0.0
2024-10-12,115.0599962,0.0,0.0
2024-10-13,115.0639331,0.0,0.0
2024-10-14,108.4064168,0.0,0.0
2024-10-15,110.5537885,0.0,0.0
2024-10-16,107.5858702,0.0,0.0
2024-10-17,109.9420425,0.0,0.0
2024-10-18,112.4572717,0.0,0.0
2024-10-19,114.5392571,0.0,0.0
2024-10-20,120.8795897,0.0,0.0
2024-10-21,109.3740103,0.0,0.0
2024-10-22,110.1941307,0.0,0.0
2024-10-23,110.8376732,0.0,0.0
2024-10-24,113.6679964,0.0,0.0
2024-10-25,116.2287445,0.0,0.0
2024-10-26,115.2992604,0.0,0.0
2024-10-27,120.0404982,0.0,0.0
2024-10-28,108.3343559,0.0,0.0
2024-10-29,108.2931177,0.0,0.0
2024-10-30,107.9864533,0.0,0.0
2024-11-01,49.72007815,0.0,0.0
2024-11-02,111.9521219,0.0,0.0
2024-11-03,113.7959387,0.0,0.0
2024-11-04,106.6071232,0.0,0.0
2024-11-05,105.207805,0.0,0.0
2024-11-06,106.080432,0.0,0.0
2024-11-07,103.220622,0.0,0.0
2024-11-08,106.0114792,0.0,0.0
2024-11-09,108.6571695,0.0,0.0
2024-11-10,113.0493226,0.0,0.0
2024-11-11,108.1954077,0.0,0.0
2024-11-12,106.5300709,0.0,0.0
2024-11-13,105.6578851,0.0,0.0
2024-11-14,103.0262751,0.0,0.0
2024-11-15,104.0629981,0.0,0.0
2024-11-16,107.5956141,0.0,0.0
2024-11-17,108.1475874,0.0,0.0
2024-11-18,103.2759196,0.0,0.0
2024-11-19,105.6366216,0.0,0.0
2024-11-20,105.2741627,0.0,0.0
2024-11-21,106.4100196,0.0,0.0
2024-11-22,107.0104727,0.0,0.0
2024-11-23,110.2332112,0.0,0.0
2024-11-24,112.0794293,0.0,0.0
2024-11-25,109.1211775,0.0,0.0
2024-11-26,107.9292633,0.0,0.0
2024-11-27,109.1635589,0.0,0.0
2024-11-28,110.7243421,0.0,0.0
2024-11-29,109.3699139,0.0,0.0
2024-11-30,107.7528986,0.0,0.0
2024-12-01,106.3579444,0.0,0.0
2024-12-02,101.1266307,0.0,0.0
2024-12-03,100.6162456,0.0,0.0
2024-12-04,104.8184528,0.0,0.0
2024-12-05,104.94007,0.0,0.0
2024-12-06,109.7332539,0.0,0.0
2024-12-07,111.8921436,0.0,0.0
2024-12-08,113.813849,0.0,0.0
2024-12-09,106.1515836,0.0,0.0
2024-12-10,106.5680858,0.0,0.0
2024-12-11,110.4129293,0.0,0.0
2024-12-12,114.3054709,0.0,0.0
2024-12-13,108.5127789,0.0,0.0
2024-12-14,112.7097243,0.0,0.0
2024-12-15,114.3332183,0.0,0.0
2024-12-16,109.8009603,0.0,0.0
2024-12-17,107.0542352,0.0,0.0
2024-12-18,105.3535326,0.0,0.0
2024-12-19,103.9010642,0.0,0.0
2024-12-20,104.9121094,0.0,0.0
2024-12-21,112.8125663,0.0,0.0
2024-12-22,112.8125663,0.0,0.0
2024-12-23,105.198312,0.0,0.0
2024-12-24,107.3246788,0.0,0.0
2024-12-25,107.3246788,0.0,0.0
2024-12-26,106.8769381,0.0,0.0
2024-12-27,105.7573733,0.0,0.0
