Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,983.73207053,0.0,0.0
2024-10-02,965.62338819,0.0,0.0
2024-10-03,965.8349468600001,0.0,0.0
2024-10-04,977.8235276400001,0.0,0.0
2024-10-05,1053.91585031,0.0,0.0
2024-10-06,1046.42125612,0.0,0.0
2024-10-07,974.12954594,0.0,0.0
2024-10-08,974.14821365,0.0,0.0
2024-10-09,978.72999779,0.0,0.0
2024-10-10,1000.55775714,0.0,0.0
2024-10-11,1007.07453257,0.0,0.0
2024-10-12,1008.06249699,0.0,0.0
2024-10-13,1029.74640016,0.0,0.0
2024-10-14,963.94167638,0.0,0.0
2024-10-15,978.76017943,0.0,0.0
2024-10-16,962.52506578,0.0,0.0
2024-10-17,992.73284717,0.0,0.0
2024-10-18,1003.12912467,0.0,0.0
2024-10-19,1013.4543650100001,0.0,0.0
2024-10-20,1039.31912821,0.0,0.0
2024-10-21,974.13969482,0.0,0.0
2024-10-22,979.7599342,0.0,0.0
2024-10-23,987.45902917,0.0,0.0
2024-10-24,1012.5382656099999,0.0,0.0
2024-10-25,1026.20619536,0.0,0.0
2024-10-26,1026.80337712,0.0,0.0
2024-10-27,1076.73457833,0.0,0.0
2024-10-28,977.81592855,0.0,0.0
2024-10-29,982.2011221,0.0,0.0
2024-10-30,986.2006204400001,0.0,0.0
2024-11-01,468.50629405,0.0,0.0
2024-11-02,980.00923774,0.0,0.0
2024-11-03,1006.7491212299999,0.0,0.0
2024-11-04,947.39376122,0.0,0.0
2024-11-05,941.54288765,0.0,0.0
2024-11-06,956.12560826,0.0,0.0
2024-11-07,959.59802253,0.0,0.0
2024-11-08,975.31658853,0.0,0.0
2024-11-09,990.87667811,0.0,0.0
2024-11-10,1021.09336478,0.0,0.0
2024-11-11,954.86612128,0.0,0.0
2024-11-12,960.13603252,0.0,0.0
2024-11-13,970.3495750300001,0.0,0.0
2024-11-14,961.77462931,0.0,0.0
2024-11-15,970.57250431,0.0,0.0
2024-11-16,986.9712345600001,0.0,0.0
2024-11-17,1011.96201399,0.0,0.0
2024-11-18,947.77708905,0.0,0.0
2024-11-19,972.84096408,0.0,0.0
2024-11-20,959.47653426,0.0,0.0
2024-11-21,971.2697130399999,0.0,0.0
2024-11-22,969.99235148,0.0,0.0
2024-11-23,991.94681888,0.0,0.0
2024-11-24,1020.02747944,0.0,0.0
2024-11-25,969.78839579,0.0,0.0
2024-11-26,966.86140159,0.0,0.0
2024-11-27,1018.84733013,0.0,0.0
2024-11-28,976.35953179,0.0,0.0
2024-11-29,969.03602174,0.0,0.0
2024-11-30,1014.65563261,0.0,0.0
2024-12-01,1023.22306488,0.0,0.0
2024-12-02,931.7371932,0.0,0.0
2024-12-03,905.2563244500001,0.0,0.0
2024-12-04,990.32452316,0.0,0.0
2024-12-05,1000.87552661,0.0,0.0
2024-12-06,1046.78111498,0.0,0.0
2024-12-07,1023.6889665200001,0.0,0.0
2024-12-08,1064.24169153,0.0,0.0
2024-12-09,1030.62265106,0.0,0.0
2024-12-10,970.0035229299999,0.0,0.0
2024-12-11,1010.72413274,0.0,0.0
2024-12-12,1045.42026224,0.0,0.0
2024-12-13,984.5351756499999,0.0,0.0
2024-12-14,1023.64850919,0.0,0.0
2024-12-15,1050.68660419,0.0,0.0
2024-12-16,1017.5905029800001,0.0,0.0
2024-12-17,979.16578504,0.0,0.0
2024-12-18,1032.40052544,0.0,0.0
2024-12-19,985.18011874,0.0,0.0
2024-12-20,991.3024049300001,0.0,0.0
2024-12-21,1075.76095319,0.0,0.0
2024-12-22,1075.76095319,0.0,0.0
2024-12-23,971.94216159,0.0,0.0
2024-12-24,986.83337813,0.0,0.0
2024-12-25,986.83337813,0.0,0.0
2024-12-26,1024.9382731,0.0,0.0
2024-12-27,984.19285605,0.0,0.0
2024-12-28,1011.59782246,0.0,0.0
2024-12-29,1019.08661437,0.0,0.0
2024-12-30,967.38770168,0.0,0.0
2024-12-31,1022.17245517,0.0,0.0
2025-01-01,1079.42,0.0,0.0
2025-01-02,973.33,0.0,0.0
2025-01-03,953.7099999999999,0.0,0.0
2025-01-04,976.76,0.0,0.0
2025-01-05,975.62,0.0,0.0
2025-01-06,933.36,0.0,0.0
2025-01-07,926.62,0.0,0.0
2025-01-08,936.71,0.0,0.0
2025-01-09,942.51,0.0,0.0
2025-01-10,982.15,0.0,0.0
