Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,883.09438841,0.0,0.0
2024-10-02,879.3844608,0.0,0.0
2024-10-03,774.4893382,0.0,0.0
2024-10-04,731.15663811,0.0,0.0
2024-10-05,946.61159058,0.0,0.0
2024-10-06,972.70015099,0.0,0.0
2024-10-07,865.4498357699999,0.0,0.0
2024-10-08,874.0024615,0.0,0.0
2024-10-09,885.12117521,0.0,0.0
2024-10-10,908.58998951,0.0,0.0
2024-10-11,921.0987443,0.0,0.0
2024-10-12,945.55957997,0.0,0.0
2024-10-13,965.18488724,0.0,0.0
2024-10-14,864.29630975,0.0,0.0
2024-10-15,826.6355256100001,0.0,0.0
2024-10-16,803.57895549,0.0,0.0
2024-10-17,859.8439393499999,0.0,0.0
2024-10-18,902.49122967,0.0,0.0
2024-10-19,950.37996017,0.0,0.0
2024-10-20,977.1042144200001,0.0,0.0
2024-10-21,855.60977377,0.0,0.0
2024-10-22,864.58819552,0.0,0.0
2024-10-23,885.0103791399999,0.0,0.0
2024-10-24,909.2489337999999,0.0,0.0
2024-10-25,933.20242599,0.0,0.0
2024-10-26,961.0747515099999,0.0,0.0
2024-10-27,1009.21651507,0.0,0.0
2024-10-28,883.4597905200001,0.0,0.0
2024-10-29,894.22314068,0.0,0.0
2024-10-30,899.39923846,0.0,0.0
2024-11-01,424.50326502,0.0,0.0
2024-11-02,927.59252554,0.0,0.0
2024-11-03,956.00856033,0.0,0.0
2024-11-04,852.91710303,0.0,0.0
2024-11-05,847.88506464,0.0,0.0
2024-11-06,860.09960625,0.0,0.0
2024-11-07,869.11633826,0.0,0.0
2024-11-08,883.01375054,0.0,0.0
2024-11-09,955.12378265,0.0,0.0
2024-11-10,969.37573824,0.0,0.0
2024-11-11,874.32949707,0.0,0.0
2024-11-12,860.0901932,0.0,0.0
2024-11-13,866.73772391,0.0,0.0
2024-11-14,867.8664989399999,0.0,0.0
2024-11-15,889.22639936,0.0,0.0
2024-11-16,920.56815585,0.0,0.0
2024-11-17,942.20624174,0.0,0.0
2024-11-18,846.26260803,0.0,0.0
2024-11-19,879.0722356599999,0.0,0.0
2024-11-20,859.42784018,0.0,0.0
2024-11-21,869.1277791800001,0.0,0.0
2024-11-22,888.2830726699999,0.0,0.0
2024-11-23,935.98689521,0.0,0.0
2024-11-24,965.15043525,0.0,0.0
2024-11-25,879.16941808,0.0,0.0
2024-11-26,865.92939629,0.0,0.0
2024-11-27,919.3273140599999,0.0,0.0
2024-11-28,873.16404056,0.0,0.0
2024-11-29,869.99037269,0.0,0.0
2024-11-30,942.07694816,0.0,0.0
2024-12-01,935.4712526999999,0.0,0.0
2024-12-02,841.48564578,0.0,0.0
2024-12-03,861.30701129,0.0,0.0
2024-12-04,882.60855814,0.0,0.0
2024-12-05,904.54239793,0.0,0.0
2024-12-06,909.35769753,0.0,0.0
2024-12-07,948.71619653,0.0,0.0
2024-12-08,969.32681722,0.0,0.0
2024-12-09,878.5136880700001,0.0,0.0
2024-12-10,898.47862482,0.0,0.0
2024-12-11,884.54506443,0.0,0.0
2024-12-12,948.08050977,0.0,0.0
2024-12-13,905.03604713,0.0,0.0
2024-12-14,960.32060371,0.0,0.0
2024-12-15,970.6536234,0.0,0.0
2024-12-16,880.21638979,0.0,0.0
2024-12-17,898.86928896,0.0,0.0
2024-12-18,897.79817197,0.0,0.0
2024-12-19,896.42122264,0.0,0.0
2024-12-20,896.30384853,0.0,0.0
2024-12-21,927.2808830399999,0.0,0.0
2024-12-22,927.2808830399999,0.0,0.0
2024-12-23,895.21988884,0.0,0.0
2024-12-24,906.61521545,0.0,0.0
2024-12-25,906.61521545,0.0,0.0
2024-12-26,925.14295968,0.0,0.0
2024-12-27,915.1654730500001,0.0,0.0
2024-12-28,947.62198347,0.0,0.0
2024-12-29,966.98327654,0.0,0.0
2024-12-30,905.69559229,0.0,0.0
2024-12-31,915.43915166,0.0,0.0
2025-01-01,982.41,0.0,0.0
2025-01-02,841.9200000000001,0.0,0.0
2025-01-03,845.23,0.0,0.0
2025-01-04,873.81,0.0,0.0
2025-01-05,904.95,0.0,0.0
2025-01-06,792.2,0.0,0.0
2025-01-07,794.8,0.0,0.0
2025-01-08,801.33,0.0,0.0
2025-01-09,800.97,0.0,0.0
2025-01-10,833.31,0.0,0.0
2025-01-11,867.3199999999999,0.0,0.0
2025-01-12,896.12,0.0,0.0
2025-01-13,781.0699999999999,0.0,0.0
2025-01-14,803.79,0.0,0.0
2025-01-15,798.94,0.0,0.0
2025-01-16,804.16,0.0,0.0
2025-01-17,822.0,0.0,0.0
2025-01-18,858.9,0.0,0.0
2025-01-19,874.7,0.0,0.0
2025-01-20,785.25,0.0,0.0
2025-01-21,793.66,0.0,0.0
2025-01-22,790.26,0.0,0.0
2025-01-23,802.86,0.0,0.0
2025-01-24,820.0899999999999,0.0,0.0
2025-01-25,853.03,0.0,0.0
2025-01-26,926.33,0.0,0.0
2025-01-27,929.39,0.0,0.0
2025-01-28,876.84,0.0,0.0
2025-01-29,873.4399999999999,0.0,0.0
2025-01-30,793.8700000000001,0.0,0.0
2025-01-31,809.29,0.0,0.0
2025-02-01,841.95,0.0,0.0
2025-02-02,871.24,0.0,0.0
2025-02-03,773.49,0.0,0.0
2025-02-04,781.64,0.0,0.0
2025-02-05,783.63,0.0,0.0
2025-02-06,803.38,0.0,0.0
2025-02-07,814.1400000000001,0.0,0.0
2025-02-08,851.46,0.0,0.0
2025-02-09,866.37,0.0,0.0
2025-02-10,786.0699999999999,0.0,0.0
2025-02-11,789.75,0.0,0.0
2025-02-12,806.22,0.0,0.0
2025-02-13,814.36,0.0,0.0
2025-02-14,827.76,0.0,0.0
2025-02-15,870.84,0.0,0.0
2025-02-16,893.04,0.0,0.0
2025-02-17,803.61,0.0,0.0
2025-02-18,791.75,0.0,0.0
2025-02-19,798.27,0.0,0.0
2025-02-20,807.1,0.0,0.0
2025-02-21,837.38,0.0,0.0
2025-02-22,891.26,0.0,0.0
2025-02-23,893.55,0.0,0.0
2025-02-24,809.99,0.0,0.0
2025-02-25,808.1199999999999,0.0,0.0
2025-02-26,836.9699999999999,0.0,0.0
2025-02-27,854.74,0.0,0.0
2025-02-28,827.94,0.0,0.0
2025-03-01,819.75,0.0,0.0
2025-03-02,862.64,0.0,0.0
2025-03-03,834.62,0.0,0.0
2025-03-04,810.79,0.0,0.0
2025-03-05,842.32,0.0,0.0
2025-03-06,836.98,0.0,0.0
2025-03-07,851.73,0.0,0.0
2025-03-08,905.95,0.0,0.0
2025-03-09,893.16,0.0,0.0
2025-03-10,847.59,0.0,0.0
2025-03-11,848.8,0.0,0.0
2025-03-12,857.53,0.0,0.0
2025-03-13,848.59,0.0,0.0
2025-03-14,864.7,0.0,0.0
2025-03-15,898.81,0.0,0.0
2025-03-16,906.4300000000001,0.0,0.0
2025-03-17,858.65,0.0,0.0
2025-03-18,838.79,0.0,0.0
2025-03-19,869.3399999999999,0.0,0.0
2025-03-20,871.1,0.0,0.0
2025-03-21,866.63,0.0,0.0
2025-03-22,901.5699999999999,0.0,0.0
2025-03-23,897.91,0.0,0.0
2025-03-24,854.5799999999999,0.0,0.0
2025-03-25,828.69,0.0,0.0
2025-03-26,859.12,0.0,0.0
2025-03-27,861.2099999999999,0.0,0.0
2025-03-28,899.23,0.0,0.0
2025-03-29,870.3100000000001,0.0,0.0
2025-03-30,877.69,0.0,0.0
2025-03-31,904.96,0.0,0.0
2025-04-01,901.4399999999999,0.0,0.0
2025-04-02,974.93,0.0,0.0
2025-04-03,1006.52952515,0.0,0.0
2025-04-04,999.95990878,0.0,0.0
2025-04-05,972.48681038,0.0,0.0
2025-04-06,947.00052512,0.0,0.0
2025-04-07,910.78011384,0.0,0.0
2025-04-08,903.33778397,0.0,0.0
2025-04-09,891.30048266,0.0,0.0
2025-04-10,899.93112484,0.0,0.0
2025-04-11,894.07590285,0.0,0.0
2025-04-12,919.5065653600001,0.0,0.0
2025-04-13,941.70359868,0.0,0.0
2025-04-14,847.65579914,0.0,0.0
2025-04-15,844.47326285,0.0,0.0
2025-04-16,855.19534901,0.0,0.0
