Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,5853.62810589,0.0,0.0
2024-10-02,5844.96624633,0.0,0.0
2024-10-03,5396.58253591,0.0,0.0
2024-10-04,5541.50726416,0.0,0.0
2024-10-05,6314.61384337,0.0,0.0
2024-10-06,6564.70008754,0.0,0.0
2024-10-07,5732.5090171,0.0,0.0
2024-10-08,5777.92372847,0.0,0.0
2024-10-09,5872.35111051,0.0,0.0
2024-10-10,6075.81132492,0.0,0.0
2024-10-11,6205.84298818,0.0,0.0
2024-10-12,6337.51091289,0.0,0.0
2024-10-13,6587.52609106,0.0,0.0
2024-10-14,5849.07555935,0.0,0.0
2024-10-15,5799.64423854,0.0,0.0
2024-10-16,5475.6581244399995,0.0,0.0
2024-10-17,5801.39530777,0.0,0.0
2024-10-18,6002.69370378,0.0,0.0
2024-10-19,6302.56563878,0.0,0.0
2024-10-20,6629.44065535,0.0,0.0
2024-10-21,5696.77418539,0.0,0.0
2024-10-22,5904.09976984,0.0,0.0
2024-10-23,5887.2166998,0.0,0.0
2024-10-24,6032.85086641,0.0,0.0
2024-10-25,6237.44548776,0.0,0.0
2024-10-26,6357.03942554,0.0,0.0
2024-10-27,6779.90775061,0.0,0.0
2024-10-28,5836.01719732,0.0,0.0
2024-10-29,5838.04134499,0.0,0.0
2024-10-30,5868.096904,0.0,0.0
2024-11-01,3008.75037921,0.0,0.0
2024-11-02,6157.25332533,0.0,0.0
2024-11-03,6467.55874094,0.0,0.0
2024-11-04,5685.31471197,0.0,0.0
2024-11-05,5651.74263427,0.0,0.0
2024-11-06,5665.11033548,0.0,0.0
2024-11-07,5708.13646493,0.0,0.0
2024-11-08,5917.68875031,0.0,0.0
2024-11-09,6180.97418626,0.0,0.0
2024-11-10,6465.40071007,0.0,0.0
2024-11-11,5848.03744254,0.0,0.0
2024-11-12,5731.83320447,0.0,0.0
2024-11-13,5758.76355978,0.0,0.0
2024-11-14,5742.03364055,0.0,0.0
2024-11-15,5941.69029407,0.0,0.0
2024-11-16,6154.82641805,0.0,0.0
2024-11-17,6324.97747175,0.0,0.0
2024-11-18,5639.58202187,0.0,0.0
2024-11-19,5820.01332397,0.0,0.0
2024-11-20,5646.02269684,0.0,0.0
2024-11-21,5759.16528963,0.0,0.0
2024-11-22,5953.87602992,0.0,0.0
2024-11-23,6198.47391224,0.0,0.0
2024-11-24,6400.0889397500005,0.0,0.0
2024-11-25,5784.44080545,0.0,0.0
2024-11-26,5879.70166897,0.0,0.0
2024-11-27,6510.42849872,0.0,0.0
2024-11-28,5888.72947718,0.0,0.0
2024-11-29,5847.78320763,0.0,0.0
2024-11-30,6183.81862061,0.0,0.0
2024-12-01,6385.04772036,0.0,0.0
2024-12-02,5648.74288462,0.0,0.0
2024-12-03,5704.25983345,0.0,0.0
2024-12-04,5776.35251117,0.0,0.0
2024-12-05,5859.7904169,0.0,0.0
2024-12-06,5964.68305813,0.0,0.0
2024-12-07,6257.45216431,0.0,0.0
2024-12-08,6506.78470469,0.0,0.0
2024-12-09,5826.48539332,0.0,0.0
2024-12-10,5914.28734593,0.0,0.0
2024-12-11,5881.98251633,0.0,0.0
2024-12-12,6175.47369066,0.0,0.0
2024-12-13,5955.78614515,0.0,0.0
2024-12-14,6317.16189783,0.0,0.0
2024-12-15,6573.8434329,0.0,0.0
2024-12-16,5850.40229132,0.0,0.0
2024-12-17,5904.17965341,0.0,0.0
2024-12-18,5947.76562782,0.0,0.0
2024-12-19,5919.52111671,0.0,0.0
2024-12-20,6024.51323775,0.0,0.0
2024-12-21,6282.48704118,0.0,0.0
2024-12-22,6282.48704118,0.0,0.0
2024-12-23,6101.33881047,0.0,0.0
2024-12-24,6155.43962246,0.0,0.0
2024-12-25,6155.43962246,0.0,0.0
2024-12-26,6250.28522954,0.0,0.0
2024-12-27,6225.84008768,0.0,0.0
2024-12-28,6468.32499131,0.0,0.0
2024-12-29,6633.62916322,0.0,0.0
2024-12-30,6247.69596308,0.0,0.0
2024-12-31,6328.82998526,0.0,0.0
2025-01-01,6800.77,0.0,0.0
2025-01-02,5932.26,0.0,0.0
2025-01-03,5882.09,0.0,0.0
2025-01-04,6003.92,0.0,0.0
2025-01-05,6171.93,0.0,0.0
2025-01-06,5526.79,0.0,0.0
