Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,234.310279173,0.0,0.0
2024-10-02,231.12175952500002,0.0,0.0
2024-10-03,230.986295893,0.0,0.0
2024-10-04,235.81115065100002,0.0,0.0
2024-10-05,242.349267958,0.0,0.0
2024-10-06,251.003942292,0.0,0.0
2024-10-07,226.407190174,0.0,0.0
2024-10-08,228.07387424799998,0.0,0.0
2024-10-09,230.67232843,0.0,0.0
2024-10-10,240.970138815,0.0,0.0
2024-10-11,246.732512845,0.0,0.0
2024-10-12,239.759209277,0.0,0.0
2024-10-13,248.171641392,0.0,0.0
2024-10-14,231.007040403,0.0,0.0
2024-10-15,239.67522348,0.0,0.0
2024-10-16,231.141694827,0.0,0.0
2024-10-17,234.17039883500001,0.0,0.0
2024-10-18,241.382988759,0.0,0.0
2024-10-19,242.832071182,0.0,0.0
2024-10-20,252.03496664099998,0.0,0.0
2024-10-21,231.09657835,0.0,0.0
2024-10-22,236.033806482,0.0,0.0
2024-10-23,238.937445,0.0,0.0
2024-10-24,248.249822368,0.0,0.0
2024-10-25,252.236963836,0.0,0.0
2024-10-26,245.597514353,0.0,0.0
2024-10-27,266.845344775,0.0,0.0
2024-10-28,235.15097808599998,0.0,0.0
2024-10-29,237.74446775799998,0.0,0.0
2024-10-30,242.380711196,0.0,0.0
2024-11-01,112.34281790099999,0.0,0.0
2024-11-02,236.593852145,0.0,0.0
2024-11-03,244.834807627,0.0,0.0
2024-11-04,226.042559051,0.0,0.0
2024-11-05,226.714034485,0.0,0.0
2024-11-06,230.31226253,0.0,0.0
2024-11-07,231.302191479,0.0,0.0
2024-11-08,236.628178083,0.0,0.0
2024-11-09,241.87083066600002,0.0,0.0
2024-11-10,249.663318132,0.0,0.0
2024-11-11,232.278158666,0.0,0.0
2024-11-12,232.121650942,0.0,0.0
2024-11-13,231.890796599,0.0,0.0
2024-11-14,236.233347078,0.0,0.0
2024-11-15,233.982051941,0.0,0.0
2024-11-16,236.79218347,0.0,0.0
2024-11-17,244.300302983,0.0,0.0
2024-11-18,225.082745263,0.0,0.0
2024-11-19,237.360549211,0.0,0.0
2024-11-20,228.685118913,0.0,0.0
2024-11-21,232.858053367,0.0,0.0
2024-11-22,235.123645982,0.0,0.0
2024-11-23,237.838421821,0.0,0.0
2024-11-24,241.92110683800001,0.0,0.0
2024-11-25,233.368526328,0.0,0.0
2024-11-26,234.105329993,0.0,0.0
2024-11-27,247.17069896,0.0,0.0
2024-11-28,229.61743886,0.0,0.0
2024-11-29,236.009324064,0.0,0.0
2024-11-30,244.431783122,0.0,0.0
2024-12-01,248.688895564,0.0,0.0
2024-12-02,222.642271623,0.0,0.0
2024-12-03,205.78141986,0.0,0.0
2024-12-04,237.454519125,0.0,0.0
2024-12-05,242.79999394,0.0,0.0
2024-12-06,247.969505724,0.0,0.0
2024-12-07,243.780366905,0.0,0.0
2024-12-08,258.540935343,0.0,0.0
2024-12-09,243.17670148000002,0.0,0.0
2024-12-10,230.772433892,0.0,0.0
2024-12-11,244.87363689300003,0.0,0.0
2024-12-12,239.029674996,0.0,0.0
2024-12-13,240.404485518,0.0,0.0
2024-12-14,243.279663817,0.0,0.0
2024-12-15,262.9923114,0.0,0.0
2024-12-16,246.903506718,0.0,0.0
2024-12-17,238.187925517,0.0,0.0
2024-12-18,248.246941314,0.0,0.0
2024-12-19,240.955939342,0.0,0.0
2024-12-20,245.758511596,0.0,0.0
2024-12-21,254.085260054,0.0,0.0
2024-12-22,254.085260054,0.0,0.0
2024-12-23,244.607881963,0.0,0.0
2024-12-24,247.401016513,0.0,0.0
2024-12-25,247.401016513,0.0,0.0
2024-12-26,258.937871418,0.0,0.0
2024-12-27,251.609571189,0.0,0.0
2024-12-28,244.62771205500002,0.0,0.0
2024-12-29,251.632259513,0.0,0.0
2024-12-30,233.01235636899997,0.0,0.0
2024-12-31,245.40953227900002,0.0,0.0
2025-01-01,262.88,0.0,0.0
2025-01-02,238.60999999999999,0.0,0.0
2025-01-03,239.07,0.0,0.0
2025-01-04,236.15,0.0,0.0
2025-01-05,239.68,0.0,0.0
2025-01-06,222.8,0.0,0.0
2025-01-07,218.64000000000001,0.0,0.0
2025-01-08,219.47,0.0,0.0
2025-01-09,220.61,0.0,0.0
2025-01-10,231.51999999999998,0.0,0.0
2025-01-11,230.58,0.0,0.0
2025-01-12,228.46,0.0,0.0
2025-01-13,212.64,0.0,0.0
2025-01-14,208.47,0.0,0.0
2025-01-15,211.37,0.0,0.0
2025-01-16,209.26,0.0,0.0
2025-01-17,214.51,0.0,0.0
2025-01-18,216.32999999999998,0.0,0.0
2025-01-19,221.35999999999999,0.0,0.0
2025-01-20,210.56,0.0,0.0
2025-01-21,204.93,0.0,0.0
2025-01-22,204.04999999999998,0.0,0.0
2025-01-23,207.32999999999998,0.0,0.0
2025-01-24,208.52,0.0,0.0
2025-01-25,207.91,0.0,0.0
2025-01-26,215.94,0.0,0.0
2025-01-27,214.01,0.0,0.0
2025-01-28,210.05,0.0,0.0
2025-01-29,212.85,0.0,0.0
2025-01-30,207.65,0.0,0.0
2025-01-31,201.63,0.0,0.0
2025-02-01,205.55,0.0,0.0
