Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,240.98783835700002,0.0,0.0
2024-10-02,241.038422252,0.0,0.0
2024-10-03,245.262462029,0.0,0.0
2024-10-04,244.88797120499999,0.0,0.0
2024-10-05,250.46426757700002,0.0,0.0
2024-10-06,260.048635308,0.0,0.0
2024-10-07,236.61986328799998,0.0,0.0
2024-10-08,242.864865,0.0,0.0
2024-10-09,247.228465354,0.0,0.0
2024-10-10,254.639238811,0.0,0.0
2024-10-11,258.919672276,0.0,0.0
2024-10-12,256.524803372,0.0,0.0
2024-10-13,263.990652317,0.0,0.0
2024-10-14,249.203444417,0.0,0.0
2024-10-15,257.425901448,0.0,0.0
2024-10-16,245.335822879,0.0,0.0
2024-10-17,250.39961700700002,0.0,0.0
2024-10-18,251.699194337,0.0,0.0
2024-10-19,255.975813403,0.0,0.0
2024-10-20,264.018993443,0.0,0.0
2024-10-21,244.581835537,0.0,0.0
2024-10-22,248.652038458,0.0,0.0
2024-10-23,249.392856504,0.0,0.0
2024-10-24,255.030424501,0.0,0.0
2024-10-25,256.493155141,0.0,0.0
2024-10-26,262.089455189,0.0,0.0
2024-10-27,277.846568209,0.0,0.0
2024-10-28,253.234873418,0.0,0.0
2024-10-29,255.861119384,0.0,0.0
2024-10-30,256.40635863,0.0,0.0
2024-11-01,124.01184729,0.0,0.0
2024-11-02,256.053565317,0.0,0.0
2024-11-03,263.746451286,0.0,0.0
2024-11-04,250.009345329,0.0,0.0
2024-11-05,247.893915309,0.0,0.0
2024-11-06,254.973170885,0.0,0.0
2024-11-07,256.11567854000003,0.0,0.0
2024-11-08,256.55491057300003,0.0,0.0
2024-11-09,263.039887109,0.0,0.0
2024-11-10,273.426499083,0.0,0.0
2024-11-11,253.183709319,0.0,0.0
2024-11-12,253.8302303,0.0,0.0
2024-11-13,252.963797636,0.0,0.0
2024-11-14,257.681232328,0.0,0.0
2024-11-15,255.966630969,0.0,0.0
2024-11-16,259.59519022300003,0.0,0.0
2024-11-17,262.943589262,0.0,0.0
2024-11-18,247.84914439300002,0.0,0.0
2024-11-19,260.008241835,0.0,0.0
2024-11-20,249.011201984,0.0,0.0
2024-11-21,250.25769689,0.0,0.0
2024-11-22,258.248209471,0.0,0.0
