Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,1459.03018806,0.0,0.0
2024-10-02,1437.783569967,0.0,0.0
2024-10-03,1442.083704782,0.0,0.0
2024-10-04,1458.522649496,0.0,0.0
2024-10-05,1546.729385845,0.0,0.0
2024-10-06,1557.47383372,0.0,0.0
2024-10-07,1437.156599402,0.0,0.0
2024-10-08,1445.086952898,0.0,0.0
2024-10-09,1456.630791574,0.0,0.0
2024-10-10,1496.167134766,0.0,0.0
2024-10-11,1512.726717691,0.0,0.0
2024-10-12,1504.346509639,0.0,0.0
2024-10-13,1541.908693869,0.0,0.0
2024-10-14,1444.1521612,0.0,0.0
2024-10-15,1475.861304358,0.0,0.0
2024-10-16,1439.002583486,0.0,0.0
2024-10-17,1477.302863012,0.0,0.0
2024-10-18,1496.211307766,0.0,0.0
2024-10-19,1512.262249595,0.0,0.0
2024-10-20,1555.373088294,0.0,0.0
2024-10-21,1449.818108707,0.0,0.0
2024-10-22,1464.44577914,0.0,0.0
2024-10-23,1475.789330674,0.0,0.0
2024-10-24,1515.818512479,0.0,0.0
2024-10-25,1534.936314337,0.0,0.0
2024-10-26,1534.490346662,0.0,0.0
2024-10-27,1621.426491314,0.0,0.0
2024-10-28,1466.201780054,0.0,0.0
2024-10-29,1475.806709242,0.0,0.0
2024-10-30,1484.987690266,0.0,0.0
2024-11-01,704.8609592409999,0.0,0.0
2024-11-02,1472.656655202,0.0,0.0
2024-11-03,1515.330380143,0.0,0.0
2024-11-04,1423.4456656,0.0,0.0
2024-11-05,1416.150837444,0.0,0.0
2024-11-06,1441.411041675,0.0,0.0
2024-11-07,1447.015892549,0.0,0.0
2024-11-08,1468.499677186,0.0,0.0
2024-11-09,1495.787395885,0.0,0.0
2024-11-10,1544.183181995,0.0,0.0
2024-11-11,1440.327989265,0.0,0.0
2024-11-12,1446.087913762,0.0,0.0
2024-11-13,1455.204169265,0.0,0.0
2024-11-14,1455.689208716,0.0,0.0
2024-11-15,1460.52118722,0.0,0.0
2024-11-16,1483.358608253,0.0,0.0
2024-11-17,1519.205906235,0.0,0.0
2024-11-18,1420.708978706,0.0,0.0
2024-11-19,1470.209755126,0.0,0.0
2024-11-20,1437.172855157,0.0,0.0
2024-11-21,1454.385463297,0.0,0.0
2024-11-22,1463.364206933,0.0,0.0
2024-11-23,1494.960991505,0.0,0.0
2024-11-24,1532.260233001,0.0,0.0
2024-11-25,1461.692459863,0.0,0.0
2024-11-26,1462.434737697,0.0,0.0
2024-11-27,1537.208765205,0.0,0.0
2024-11-28,1472.147738999,0.0,0.0
2024-11-29,1470.420947888,0.0,0.0
2024-11-30,1526.73035647,0.0,0.0
2024-12-01,1545.133988116,0.0,0.0
2024-12-02,1402.152186484,0.0,0.0
2024-12-03,1353.1522585,0.0,0.0
2024-12-04,1489.819460322,0.0,0.0
2024-12-05,1514.853587856,0.0,0.0
2024-12-06,1565.450397307,0.0,0.0
2024-12-07,1541.950537571,0.0,0.0
2024-12-08,1601.309113765,0.0,0.0
2024-12-09,1540.838959598,0.0,0.0
2024-12-10,1468.058709612,0.0,0.0
2024-12-11,1525.580843771,0.0,0.0
2024-12-12,1535.360690208,0.0,0.0
2024-12-13,1494.179806548,0.0,0.0
2024-12-14,1534.427372398,0.0,0.0
2024-12-15,1599.659767295,0.0,0.0
2024-12-16,1523.997061799,0.0,0.0
2024-12-17,1478.273038767,0.0,0.0
2024-12-18,1547.630864803,0.0,0.0
2024-12-19,1491.735503748,0.0,0.0
2024-12-20,1497.220648195,0.0,0.0
2024-12-21,1607.398104839,0.0,0.0
2024-12-22,1607.398104839,0.0,0.0
2024-12-23,1462.652299751,0.0,0.0
2024-12-24,1489.969982612,0.0,0.0
2024-12-25,1489.969982612,0.0,0.0
2024-12-26,1563.06031239,0.0,0.0
2024-12-27,1512.967939741,0.0,0.0
2024-12-28,1498.786457379,0.0,0.0
2024-12-29,1553.264233946,0.0,0.0
2024-12-30,1467.762797737,0.0,0.0
2024-12-31,1538.208646518,0.0,0.0
2025-01-01,1627.46,0.0,0.0
2025-01-02,1483.05,0.0,0.0
2025-01-03,1462.4,0.0,0.0
2025-01-04,1478.64,0.0,0.0
2025-01-05,1483.67,0.0,0.0
2025-01-06,1413.07,0.0,0.0
2025-01-07,1400.63,0.0,0.0
2025-01-08,1413.85,0.0,0.0
2025-01-09,1420.51,0.0,0.0
2025-01-10,1482.23,0.0,0.0
2025-01-11,1529.09,0.0,0.0
2025-01-12,1507.15,0.0,0.0
2025-01-13,1391.74,0.0,0.0
2025-01-14,1401.81,0.0,0.0
2025-01-15,1414.52,0.0,0.0
2025-01-16,1407.35,0.0,0.0
2025-01-17,1414.93,0.0,0.0
2025-01-18,1442.94,0.0,0.0
2025-01-19,1483.27,0.0,0.0
2025-01-20,1405.2,0.0,0.0
2025-01-21,1377.29,0.0,0.0
2025-01-22,1411.6899999999998,0.0,0.0
2025-01-23,1419.05,0.0,0.0
2025-01-24,1432.78,0.0,0.0
2025-01-25,1420.14,0.0,0.0
2025-01-26,1493.48,0.0,0.0
2025-01-27,1482.0,0.0,0.0
2025-01-28,1448.65,0.0,0.0
2025-01-29,1453.65,0.0,0.0
2025-01-30,1431.25,0.0,0.0
2025-01-31,1399.66,0.0,0.0
2025-02-01,1422.71,0.0,0.0
2025-02-02,1467.78,0.0,0.0
2025-02-03,1356.87,0.0,0.0
2025-02-04,1372.88,0.0,0.0
2025-02-05,1367.46,0.0,0.0
2025-02-06,1395.4,0.0,0.0
2025-02-07,1384.53,0.0,0.0
2025-02-08,1438.62,0.0,0.0
2025-02-09,1501.9,0.0,0.0
2025-02-10,1465.28,0.0,0.0
2025-02-11,1432.21,0.0,0.0
2025-02-12,1474.14,0.0,0.0
2025-02-13,1413.97,0.0,0.0
2025-02-14,1429.86,0.0,0.0
2025-02-15,1428.57,0.0,0.0
2025-02-16,1495.34,0.0,0.0
2025-02-17,1389.25,0.0,0.0
2025-02-18,1403.05,0.0,0.0
2025-02-19,1402.01,0.0,0.0
2025-02-20,1411.98,0.0,0.0
2025-02-21,1437.58,0.0,0.0
2025-02-22,1504.25,0.0,0.0
2025-02-23,1518.12,0.0,0.0
2025-02-24,1419.01,0.0,0.0
2025-02-25,1431.72,0.0,0.0
2025-02-26,1450.26,0.0,0.0
2025-02-27,1465.16,0.0,0.0
2025-02-28,1461.5,0.0,0.0
2025-03-01,1457.75,0.0,0.0
2025-03-02,1528.74,0.0,0.0
2025-03-03,1469.4199999999998,0.0,0.0
2025-03-04,1430.46,0.0,0.0
2025-03-05,1493.52,0.0,0.0
2025-03-06,1475.98,0.0,0.0
2025-03-07,1488.98,0.0,0.0
2025-03-08,1546.63,0.0,0.0
2025-03-09,1579.31,0.0,0.0
2025-03-10,1481.36,0.0,0.0
2025-03-11,1482.03,0.0,0.0
2025-03-12,1502.55,0.0,0.0
2025-03-13,1520.09,0.0,0.0
2025-03-14,1538.27,0.0,0.0
2025-03-15,1563.02,0.0,0.0
2025-03-16,1606.76,0.0,0.0
2025-03-17,1499.09,0.0,0.0
2025-03-18,1496.89,0.0,0.0
2025-03-19,1562.31,0.0,0.0
2025-03-20,1539.62,0.0,0.0
2025-03-21,1557.95,0.0,0.0
2025-03-22,1618.21,0.0,0.0
2025-03-23,1584.0,0.0,0.0
2025-03-24,1514.07,0.0,0.0
2025-03-25,1431.01,0.0,0.0
2025-03-26,1448.29,0.0,0.0
2025-03-27,1442.86,0.0,0.0
2025-03-28,1486.64,0.0,0.0
2025-03-29,823.5,0.0,0.0
2025-03-30,1482.06,0.0,0.0
2025-03-31,1448.33,0.0,0.0
2025-04-01,1410.23,0.0,0.0
2025-04-02,1426.38,0.0,0.0
2025-04-03,1442.428147127,0.0,0.0
2025-04-04,1442.193884043,0.0,0.0
2025-04-05,1444.761946732,0.0,0.0
2025-04-06,1473.428641269,0.0,0.0
2025-04-07,1454.265512668,0.0,0.0
2025-04-08,1463.736812318,0.0,0.0
2025-04-09,1488.488812659,0.0,0.0
2025-04-10,1513.673920929,0.0,0.0
2025-04-11,1493.665151063,0.0,0.0
2025-04-12,1527.194689859,0.0,0.0
2025-04-13,1573.386214374,0.0,0.0
2025-04-14,1492.046730678,0.0,0.0
2025-04-15,1473.133939281,0.0,0.0
2025-04-16,1498.529539231,0.0,0.0
2025-04-17,1547.820075366,0.0,0.0
2025-04-18,1600.896089299,0.0,0.0
2025-04-19,1563.764471898,0.0,0.0
2025-04-20,1571.16744758,0.0,0.0
2025-04-21,1506.743650099,0.0,0.0
2025-04-22,1523.509902412,0.0,0.0
