Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,6736.7224943,0.0,0.0
2024-10-02,6724.35070713,0.0,0.0
2024-10-03,6171.07187411,0.0,0.0
2024-10-04,6272.66390227,0.0,0.0
2024-10-05,7261.22543395,0.0,0.0
2024-10-06,7537.40023853,0.0,0.0
2024-10-07,6597.95885287,0.0,0.0
2024-10-08,6651.92618997,0.0,0.0
2024-10-09,6757.47228572,0.0,0.0
2024-10-10,6984.40131443,0.0,0.0
2024-10-11,7126.94173248,0.0,0.0
2024-10-12,7283.07049286,0.0,0.0
2024-10-13,7552.7109783,0.0,0.0
2024-10-14,6713.3718691,0.0,0.0
2024-10-15,6626.27976415,0.0,0.0
2024-10-16,6279.23707993,0.0,0.0
2024-10-17,6661.23924712,0.0,0.0
2024-10-18,6905.18493345,0.0,0.0
2024-10-19,7252.94559895,0.0,0.0
2024-10-20,7606.54486977,0.0,0.0
2024-10-21,6552.38395916,0.0,0.0
2024-10-22,6768.68796536,0.0,0.0
2024-10-23,6772.22707894,0.0,0.0
2024-10-24,6942.09980021,0.0,0.0
2024-10-25,7170.64791375,0.0,0.0
2024-10-26,7318.11417705,0.0,0.0
2024-10-27,7789.12426568,0.0,0.0
2024-10-28,6719.47698784,0.0,0.0
2024-10-29,6732.26448567,0.0,0.0
2024-10-30,6767.49614246,0.0,0.0
2024-11-01,3433.25364423,0.0,0.0
2024-11-02,7084.84585087,0.0,0.0
2024-11-03,7423.56730127,0.0,0.0
2024-11-04,6538.231815,0.0,0.0
2024-11-05,6499.62769891,0.0,0.0
2024-11-06,6525.2099417300005,0.0,0.0
2024-11-07,6577.25280319,0.0,0.0
2024-11-08,6800.70250085,0.0,0.0
2024-11-09,7136.09796891,0.0,0.0
2024-11-10,7434.77644831,0.0,0.0
2024-11-11,6722.36693961,0.0,0.0
2024-11-12,6591.92339767,0.0,0.0
2024-11-13,6625.50128369,0.0,0.0
2024-11-14,6609.90013949,0.0,0.0
2024-11-15,6830.91669343,0.0,0.0
2024-11-16,7075.3945739,0.0,0.0
2024-11-17,7267.18371349,0.0,0.0
2024-11-18,6485.8446299,0.0,0.0
2024-11-19,6699.08555963,0.0,0.0
2024-11-20,6505.45053702,0.0,0.0
2024-11-21,6628.29306881,0.0,0.0
2024-11-22,6842.15910259,0.0,0.0
2024-11-23,7134.46080745,0.0,0.0
2024-11-24,7365.239375,0.0,0.0
