Kabupaten,Region,Province,Hist_Mean,Fore_Mean,Absolute_Growth,Percentage_Growth,Has_Forecast
Kota Surabaya,EAST JAVA,JAWA TIMUR,816.31,910.13,93.81,11.49,True
Kota Semarang,CENTRAL JAVA,JAWA TENGAH,505.15,566.62,61.48,12.17,True
Sidoarjo,EAST JAVA,JAWA TIMUR,590.85,640.69,49.84,8.44,True
Kota Denpasar,BALI NUSRA,BALI,307.89,354.53,46.63,15.15,True
Sleman,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,382.64,426.6,43.95,11.49,True
Badung,BALI NUSRA,BALI,262.19,301.57,39.38,15.02,True
Malang,EAST JAVA,JAWA TIMUR,265.59,304.23,38.64,14.55,True
Kota Malang,EAST JAVA,JAWA TIMUR,166.33,196.31,29.97,18.02,True
Bangkalan,EAST JAVA,JAWA TIMUR,188.18,216.19,28.02,14.89,True
Gresik,EAST JAVA,JAWA TIMUR,301.73,328.47,26.74,8.86,True
Kediri,EAST JAVA,JAWA TIMUR,212.06,231.53,19.47,9.18,True
Bantul,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,241.36,260.49,19.12,7.92,True
Magelang,CENTRAL JAVA,JAWA TENGAH,225.67,242.8,17.13,7.59,True
Blitar,EAST JAVA,JAWA TIMUR,138.32,155.1,16.78,12.13,True
Pamekasan,EAST JAVA,JAWA TIMUR,74.3,91.02,16.71,22.49,True
Gianyar,BALI NUSRA,BALI,111.85,127.69,15.84,14.17,True
Kota Mataram,BALI NUSRA,NUSA TENGGARA BARAT,52.41,68.04,15.63,29.83,True
Sampang,EAST JAVA,JAWA TIMUR,96.06,110.96,14.9,15.52,True
Tegal,CENTRAL JAVA,JAWA TENGAH,292.65,306.22,13.58,4.64,True
Semarang,CENTRAL JAVA,JAWA TENGAH,226.96,240.51,13.54,5.97,True
Grobogan,CENTRAL JAVA,JAWA TENGAH,144.07,157.29,13.22,9.18,True
Kota Yogyakarta,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,126.33,139.49,13.16,10.42,True
Tabanan,BALI NUSRA,BALI,92.96,105.56,12.61,13.56,True
Kendal,CENTRAL JAVA,JAWA TENGAH,181.18,192.64,11.46,6.33,True
Pati,CENTRAL JAVA,JAWA TENGAH,109.74,121.2,11.45,10.44,True
Jombang,EAST JAVA,JAWA TIMUR,194.9,206.15,11.25,5.77,True
Lombok Tengah,BALI NUSRA,NUSA TENGGARA BARAT,55.16,66.4,11.24,20.38,True
Jember,EAST JAVA,JAWA TIMUR,141.4,152.28,10.88,7.7,True
Lombok Barat,BALI NUSRA,NUSA TENGGARA BARAT,39.04,49.51,10.46,26.8,True
Mojokerto,EAST JAVA,JAWA TIMUR,228.29,238.49,10.2,4.47,True
Sumenep,EAST JAVA,JAWA TIMUR,51.04,60.82,9.78,19.16,True
Blora,CENTRAL JAVA,JAWA TENGAH,82.09,91.61,9.52,11.59,True
Demak,CENTRAL JAVA,JAWA TENGAH,165.68,175.09,9.4,5.68,True
Kota Kupang,BALI NUSRA,NUSA TENGGARA TIMUR,53.75,63.04,9.29,17.29,True
Lombok Timur,BALI NUSRA,NUSA TENGGARA BARAT,42.32,51.42,9.1,21.5,True
Banyumas,CENTRAL JAVA,JAWA TENGAH,318.03,326.47,8.44,2.65,True
Kota Kediri,EAST JAVA,JAWA TIMUR,63.99,72.04,8.05,12.59,True
Kota Salatiga,CENTRAL JAVA,JAWA TENGAH,56.69,64.59,7.91,13.95,True
Tulungagung,EAST JAVA,JAWA TIMUR,108.4,116.31,7.91,7.3,True
Sukoharjo,CENTRAL JAVA,JAWA TENGAH,256.83,264.19,7.36,2.87,True
Kota Magelang,CENTRAL JAVA,JAWA TENGAH,40.98,47.88,6.91,16.85,True
Bojonegoro,EAST JAVA,JAWA TIMUR,164.5,171.25,6.75,4.1,True
Sumba Barat Daya,BALI NUSRA,NUSA TENGGARA TIMUR,15.13,21.7,6.57,43.45,True
Pasuruan,EAST JAVA,JAWA TIMUR,220.24,226.57,6.33,2.87,True
Kupang,BALI NUSRA,NUSA TENGGARA TIMUR,34.06,39.97,5.92,17.37,True
Sumba Timur,BALI NUSRA,NUSA TENGGARA TIMUR,20.55,26.09,5.53,26.91,True
Klaten,CENTRAL JAVA,JAWA TENGAH,281.89,287.32,5.43,1.93,True
Kota Surakarta,CENTRAL JAVA,JAWA TENGAH,182.94,188.15,5.21,2.85,True
Tuban,EAST JAVA,JAWA TIMUR,167.76,172.82,5.06,3.01,True
Bima,BALI NUSRA,NUSA TENGGARA BARAT,11.86,16.91,5.05,42.63,True
Kota Tegal,CENTRAL JAVA,JAWA TENGAH,65.99,71.05,5.05,7.66,True
Buleleng,BALI NUSRA,BALI,88.06,93.05,4.99,5.67,True
Boyolali,CENTRAL JAVA,JAWA TENGAH,222.06,227.02,4.96,2.24,True
Banjarnegara,CENTRAL JAVA,JAWA TENGAH,104.25,109.04,4.78,4.59,True
Sumbawa,BALI NUSRA,NUSA TENGGARA BARAT,16.79,21.48,4.68,27.89,True
Flores Timur,BALI NUSRA,NUSA TENGGARA TIMUR,14.64,19.31,4.67,31.94,True
Kebumen,CENTRAL JAVA,JAWA TENGAH,178.37,182.89,4.52,2.54,True
Ponorogo,EAST JAVA,JAWA TIMUR,61.16,65.51,4.35,7.11,True
Timor Tengah Selatan,BALI NUSRA,NUSA TENGGARA TIMUR,14.11,17.83,3.72,26.37,True
Sikka,BALI NUSRA,NUSA TENGGARA TIMUR,14.71,18.31,3.6,24.49,True
Batang,CENTRAL JAVA,JAWA TENGAH,133.68,137.25,3.57,2.67,True
Manggarai Timur,BALI NUSRA,NUSA TENGGARA TIMUR,13.93,17.46,3.53,25.37,True
Dompu,BALI NUSRA,NUSA TENGGARA BARAT,17.11,20.46,3.35,19.57,True
Rote Ndao,BALI NUSRA,NUSA TENGGARA TIMUR,8.97,12.1,3.13,34.95,True
Kota Blitar,EAST JAVA,JAWA TIMUR,28.62,31.69,3.07,10.74,True
Manggarai,BALI NUSRA,NUSA TENGGARA TIMUR,24.35,27.3,2.95,12.1,True
Nganjuk,EAST JAVA,JAWA TIMUR,108.64,111.57,2.93,2.7,True
Lamongan,EAST JAVA,JAWA TIMUR,183.54,186.37,2.83,1.54,True
Situbondo,EAST JAVA,JAWA TIMUR,34.7,37.52,2.82,8.13,True
Wonosobo,CENTRAL JAVA,JAWA TENGAH,76.93,79.75,2.82,3.67,True
Karanganyar,CENTRAL JAVA,JAWA TENGAH,169.81,172.59,2.78,1.64,True
Malaka,BALI NUSRA,NUSA TENGGARA TIMUR,6.36,9.08,2.72,42.7,True
Cilacap,CENTRAL JAVA,JAWA TENGAH,335.66,338.37,2.71,0.81,True
Bangli,BALI NUSRA,BALI,29.98,32.63,2.66,8.86,True
Timor Tengah Utara,BALI NUSRA,NUSA TENGGARA TIMUR,10.51,13.17,2.66,25.28,True
Purworejo,CENTRAL JAVA,JAWA TENGAH,106.27,108.94,2.66,2.51,True
Sumba Barat,BALI NUSRA,NUSA TENGGARA TIMUR,5.86,8.52,2.65,45.23,True
Lombok Utara,BALI NUSRA,NUSA TENGGARA BARAT,11.91,14.46,2.55,21.44,True
Purbalingga,CENTRAL JAVA,JAWA TENGAH,129.81,132.11,2.29,1.77,True
Karangasem,BALI NUSRA,BALI,77.12,79.17,2.05,2.66,True
Kota Bima,BALI NUSRA,NUSA TENGGARA BARAT,8.23,10.02,1.8,21.86,True
Rembang,CENTRAL JAVA,JAWA TENGAH,53.51,55.27,1.76,3.29,True
Kota Pekalongan,CENTRAL JAVA,JAWA TENGAH,72.09,73.74,1.65,2.29,True
Lumajang,EAST JAVA,JAWA TIMUR,55.53,57.16,1.64,2.95,True
Manggarai Barat,BALI NUSRA,NUSA TENGGARA TIMUR,22.23,23.79,1.57,7.05,True
Kota Mojokerto,EAST JAVA,JAWA TIMUR,37.65,39.03,1.38,3.67,True
Belu,BALI NUSRA,NUSA TENGGARA TIMUR,6.68,8.03,1.35,20.22,True
Bondowoso,EAST JAVA,JAWA TIMUR,32.13,33.47,1.34,4.18,True
Kota Batu,EAST JAVA,JAWA TIMUR,34.99,36.31,1.32,3.78,True
Klungkung,BALI NUSRA,BALI,27.39,28.63,1.24,4.53,True
Sumbawa Barat,BALI NUSRA,NUSA TENGGARA BARAT,11.45,12.45,1.0,8.75,True
Kudus,CENTRAL JAVA,JAWA TENGAH,154.76,155.75,0.99,0.64,True
Banyuwangi,EAST JAVA,JAWA TIMUR,73.18,74.1,0.92,1.25,True
Kota Pasuruan,EAST JAVA,JAWA TIMUR,28.13,28.96,0.82,2.92,True
Sumba Tengah,BALI NUSRA,NUSA TENGGARA TIMUR,3.11,3.85,0.73,23.56,True
Nagekeo,BALI NUSRA,NUSA TENGGARA TIMUR,7.23,7.8,0.57,7.88,True
Sragen,CENTRAL JAVA,JAWA TENGAH,110.52,111.07,0.55,0.5,True
Jembrana,BALI NUSRA,BALI,35.79,36.2,0.41,1.15,True
Temanggung,CENTRAL JAVA,JAWA TENGAH,105.0,105.22,0.22,0.21,True
Kota Probolinggo,EAST JAVA,JAWA TIMUR,28.37,28.57,0.19,0.68,True
Ende,BALI NUSRA,NUSA TENGGARA TIMUR,16.1,16.28,0.18,1.11,True
Magetan,EAST JAVA,JAWA TIMUR,71.54,71.73,0.18,0.26,True
Sabu Raijua,BALI NUSRA,NUSA TENGGARA TIMUR,0.07,0.14,0.07,110.59,True
Trenggalek,EAST JAVA,JAWA TIMUR,21.71,21.65,-0.07,-0.31,True
Ngawi,EAST JAVA,JAWA TIMUR,102.07,101.88,-0.19,-0.19,True
Madiun,EAST JAVA,JAWA TIMUR,73.29,73.07,-0.22,-0.31,True
Kota Madiun,EAST JAVA,JAWA TIMUR,33.81,33.5,-0.31,-0.92,True
Lembata,BALI NUSRA,NUSA TENGGARA TIMUR,3.87,3.53,-0.34,-8.69,True
Pacitan,EAST JAVA,JAWA TIMUR,17.21,16.87,-0.35,-2.02,True
Ngada,BALI NUSRA,NUSA TENGGARA TIMUR,8.56,8.13,-0.44,-5.11,True
Alor,BALI NUSRA,NUSA TENGGARA TIMUR,5.37,4.79,-0.58,-10.81,True
Brebes,CENTRAL JAVA,JAWA TENGAH,292.74,292.05,-0.69,-0.24,True
Kulon Progo,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,70.32,68.95,-1.37,-1.95,True
Probolinggo,EAST JAVA,JAWA TIMUR,74.15,72.03,-2.12,-2.86,True
Gunungkidul,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,90.63,87.7,-2.93,-3.23,True
Pemalang,CENTRAL JAVA,JAWA TENGAH,208.36,203.92,-4.44,-2.13,True
Pekalongan,CENTRAL JAVA,JAWA TENGAH,215.5,210.83,-4.68,-2.17,True
Jepara,CENTRAL JAVA,JAWA TENGAH,217.8,213.02,-4.78,-2.19,True
Wonogiri,CENTRAL JAVA,JAWA TENGAH,97.64,92.85,-4.79,-4.9,True
