Kabupaten,Hist_Mean,Hist_Std,Hist_Min,Hist_Max,Fore_Mean,Fore_Std,Fore_Min,Fore_Max,Data_Points_Hist,Data_Points_Fore,Has_Forecast
Alor,5.37,0.83,1.51,8.05,4.79,0.72,3.3,6.49,386,75,True
Badung,262.19,29.87,46.09,363.26,301.57,12.93,277.59,332.04,386,75,True
Bangkalan,188.18,22.39,87.02,265.69,216.19,7.74,199.52,233.85,386,75,True
Bangli,29.98,2.84,5.82,44.51,32.63,1.93,28.76,37.48,386,75,True
Banjarnegara,104.25,12.61,52.84,177.11,109.04,4.31,101.95,122.32,386,75,True
Bantul,241.36,20.4,111.78,356.52,260.49,13.78,230.52,294.27,386,75,True
Banyumas,318.03,26.88,160.88,441.49,326.47,15.35,294.3,360.61,386,75,True
Banyuwangi,73.18,10.04,33.41,136.34,74.1,4.65,66.09,86.96,386,75,True
Batang,133.68,11.77,67.05,187.31,137.25,7.49,122.4,157.15,386,75,True
Belu,6.68,1.28,2.64,10.64,8.03,0.72,6.67,10.15,386,75,True
Bima,11.86,3.42,4.5,20.73,16.91,1.65,13.53,21.44,386,75,True
Blitar,138.32,12.77,66.72,211.94,155.1,5.53,144.5,166.43,386,75,True
Blora,82.09,10.47,38.09,145.45,91.61,4.08,84.78,103.33,386,75,True
Bojonegoro,164.5,15.53,83.48,254.86,171.25,5.48,160.16,183.12,386,75,True
Bondowoso,32.13,3.29,17.22,46.74,33.47,1.11,30.85,35.75,386,75,True
Boyolali,222.06,22.85,106.8,323.4,227.02,10.67,208.78,261.35,386,75,True
Brebes,292.74,34.08,145.71,472.09,292.05,14.32,268.99,335.91,386,75,True
Buleleng,88.06,7.41,17.67,122.85,93.05,4.15,83.96,103.62,386,75,True
Cilacap,335.66,32.33,164.02,509.26,338.37,18.0,302.03,383.54,386,75,True
Demak,165.68,14.53,83.5,234.34,175.09,6.47,162.27,197.25,386,75,True
Dompu,17.11,4.73,5.53,29.61,20.46,3.0,14.92,26.92,386,75,True
Ende,16.1,2.65,5.04,22.84,16.28,2.51,12.0,22.44,386,75,True
Flores Timur,14.64,2.89,5.28,20.65,19.31,0.92,17.28,22.72,386,75,True
Gianyar,111.85,11.6,15.03,155.29,127.69,5.56,117.03,142.36,386,75,True
Gresik,301.73,19.83,141.39,425.21,328.47,11.06,304.02,360.78,386,75,True
Grobogan,144.07,19.3,68.42,253.24,157.29,6.21,147.35,177.64,386,75,True
Gunungkidul,90.63,12.14,41.3,159.22,87.7,8.7,68.79,112.91,386,75,True
