date,value
2025-07-01,587
2025-07-02,636
2025-07-03,711
2025-07-04,581
2025-07-05,375
2025-07-06,457
2025-07-07,721
2025-07-08,640
2025-07-09,704
2025-07-10,692
2025-07-12,438
2025-07-13,465
2025-07-14,604
2025-07-15,717
2025-07-16,727
2025-07-17,868
2025-07-18,926
2025-07-19,578
2025-07-20,603
2025-07-21,897
2025-07-22,1015
2025-07-23,1052
2025-07-24,1114
2025-07-25,967
2025-07-26,647
2025-07-27,664
2025-07-28,856
2025-07-29,929
2025-07-30,1106
2025-07-31,968
2025-08-01,945
2025-08-02,583
2025-08-03,542
2025-08-04,856
2025-08-05,921
2025-08-06,972
2025-08-07,1036
2025-08-08,944
2025-08-09,606
2025-08-10,652
2025-08-11,932
2025-08-12,1029
2025-08-13,1112
2025-08-14,1321
2025-08-15,1012
2025-08-16,864
2025-08-17,663
2025-08-18,722
2025-08-19,1399
2025-08-20,1031
2025-08-21,1255
2025-08-22,1176
2025-08-23,825
2025-08-24,779
2025-08-25,1078
2025-08-26,1247
2025-08-27,1267
2025-08-28,1387
2025-08-29,1563
2025-08-30,1038
2025-08-31,894
2025-09-01,881
2025-09-02,1010
2025-09-03,953
2025-09-04,730
2025-09-05,631
2025-09-06,646
2025-09-07,741
2025-09-08,1173
2025-09-09,1364
2025-09-10,1473
2025-09-11,1348
2025-09-12,1283
2025-09-13,910
2025-09-14,971
2025-09-15,1234
2025-09-16,1474
2025-09-17,1405
2025-09-18,1383
2025-09-19,1286
2025-09-20,941
2025-09-21,968
2025-09-22,1420
2025-09-23,1384
2025-09-24,1503
2025-09-25,1438
2025-09-26,1326
2025-09-27,933
2025-09-28,907
2025-09-29,1235
2025-09-30,1402
2025-10-01,1345
2025-10-02,1394
2025-10-03,1287
2025-10-04,1000
2025-10-05,934
2025-10-06,1190
2025-10-07,1110
2025-10-08,1398
2025-10-09,1393
2025-10-10,1313
2025-10-11,1046
2025-10-12,986
2025-10-13,1312
2025-10-14,1404
2025-10-15,1530
2025-10-16,1574
2025-10-17,1461
2025-10-18,1066
2025-10-19,1173
2025-10-20,1375
2025-10-21,1634
2025-10-22,1560
2025-10-23,1539
2025-10-24,1500
2025-10-25,1143
2025-10-26,1070
2025-10-27,1361
2025-10-28,1562
2025-10-29,1552
2025-10-30,1745
2025-10-31,1615
2025-11-01,1047
2025-11-02,1191
2025-11-03,1409
2025-11-04,1587
2025-11-05,1876
2025-11-06,1660
2025-11-07,1563
2025-11-08,1311
2025-11-09,1269
2025-11-10,1920
2025-11-11,1931
2025-11-12,1858
2025-11-13,1790
2025-11-14,1714
2025-11-15,1152
2025-11-16,1183
2025-11-17,1680
2025-11-18,1871
2025-11-19,1821
2025-11-20,1766
2025-11-21,1900
2025-11-22,1385
2025-11-23,1301
2025-11-24,1631
2025-11-25,1820
2025-11-26,1716
2025-11-27,1614
2025-11-28,1418
2025-11-29,967
2025-11-30,1016
2025-12-01,1383
2025-12-02,1540
2025-12-03,1606
2025-12-04,1805
2025-12-05,1692
2025-12-06,1103
2025-12-07,1195
2025-12-08,1560
2025-12-09,1636
2025-12-10,1733
2025-12-11,1762
2025-12-12,1560
2025-12-13,1027
2025-12-14,1105
2025-12-15,1624
2025-12-16,1616
2025-12-17,1521
2025-12-18,1602
